design,s,threads,rep,wall_ns,collect_ns,count_ns,insert_ns,latch_ns,ok
unchained,0.5,2,4,284412971,46000975,224563,238187433,0,1
chained,0.5,2,0,1798366044,0,0,1798366044,0,1
chained,0.5,2,1,1842850660,0,0,1842850660,0,1
chained,0.5,2,2,1798699078,0,0,1798699078,0,1
chained,0.5,2,3,1799022060,0,0,1799022060,0,1
chained,0.5,2,4,1782945435,0,0,1782945435,0,1
ch-mutex,0.5,2,0,900804103,38180447,0,862571586,2058543,1
ch-mutex,0.5,2,1,899774505,38194455,0,861527525,2021845,1
ch-mutex,0.5,2,2,900063281,38149574,0,861863874,1954116,1
ch-mutex,0.5,2,3,903391501,38341370,0,864992011,1957085,1
ch-mutex,0.5,2,4,906426286,38123665,0,868253930,1969080,1
ch-spin,0.5,2,0,894791347,37377249,0,857439735,1737654,1
ch-spin,0.5,2,1,893519844,37393865,0,856203303,1751741,1
ch-spin,0.5,2,2,897032951,37343926,0,859766483,1738617,1
ch-spin,0.5,2,3,896302130,37507719,0,858727833,1778703,1
ch-spin,0.5,2,4,893100699,37386469,0,855669353,1784572,1
unchained,0.5,4,0,147288275,23176245,353850,123758180,0,1
unchained,0.5,4,1,147885912,23337021,345745,124203146,0,1
unchained,0.5,4,2,147369981,23351955,344828,123673198,0,1
unchained,0.5,4,3,147672988,23276620,347918,124048450,0,1
unchained,0.5,4,4,148512720,23294606,351567,124866547,0,1
chained,0.5,4,0,884740611,0,0,884740611,0,1
chained,0.5,4,1,896590975,0,0,896590975,0,1
chained,0.5,4,2,882438334,0,0,882438334,0,1
chained,0.5,4,3,886725271,0,0,886725271,0,1
chained,0.5,4,4,878485746,0,0,878485746,0,1
ch-mutex,0.5,4,0,457574785,19160282,0,438522716,2829396,1
ch-mutex,0.5,4,1,453935350,19142429,0,434889933,2641294,1
ch-mutex,0.5,4,2,462541059,19261244,0,443382039,6687612,1
ch-mutex,0.5,4,3,462305104,19238464,0,443105639,4082937,1
ch-mutex,0.5,4,4,458974221,19131323,0,439887536,4449217,1
ch-spin,0.5,4,0,455561663,18743967,0,436901462,2315494,1
ch-spin,0.5,4,1,452082292,18636925,0,433434274,2738148,1
ch-spin,0.5,4,2,454304312,18841748,0,435434369,2707909,1
ch-spin,0.5,4,3,454057952,18777878,0,435325031,2595360,1
ch-spin,0.5,4,4,452475012,18767403,0,433671066,2350120,1
unchained,0.5,8,0,79596470,12079245,481982,67035243,0,1
unchained,0.5,8,1,79604350,12702878,475556,66425916,0,1
unchained,0.5,8,2,79354850,12017100,471190,66866560,0,1
unchained,0.5,8,3,79632576,11944733,469321,67218522,0,1
unchained,0.5,8,4,79811745,11998117,475180,67338448,0,1
chained,0.5,8,0,427558616,0,0,427558616,0,1
chained,0.5,8,1,442726879,0,0,442726879,0,1
chained,0.5,8,2,426086673,0,0,426086673,0,1
chained,0.5,8,3,435231656,0,0,435231656,0,1
chained,0.5,8,4,419896923,0,0,419896923,0,1
ch-mutex,0.5,8,0,238970418,10526017,0,228538061,3548697,1
ch-mutex,0.5,8,1,243195129,10756794,0,232469778,3251116,1
ch-mutex,0.5,8,2,239054815,10571065,0,228554893,3116178,1
ch-mutex,0.5,8,3,239160434,10451173,0,228741967,3298363,1
ch-mutex,0.5,8,4,240936562,10632905,0,230286344,3262532,1
ch-spin,0.5,8,0,238104537,10179175,0,227889116,3556454,1
ch-spin,0.5,8,1,235860792,10155987,0,225759252,3169551,1
ch-spin,0.5,8,2,238268286,10304668,0,228051840,2954681,1
ch-spin,0.5,8,3,237398231,10225956,0,227142412,3784869,1
ch-spin,0.5,8,4,235299179,10072156,0,225388078,9967756,1
unchained,0.5,16,0,46321185,7281636,575101,38464448,0,1
unchained,0.5,16,1,45837272,7057392,576188,38203692,0,1
unchained,0.5,16,2,47330958,7371893,580024,39379041,0,1
unchained,0.5,16,3,46023477,7153974,580363,38289140,0,1
unchained,0.5,16,4,47521108,7267292,561833,39691983,0,1
chained,0.5,16,0,206434717,0,0,206434717,0,1
chained,0.5,16,1,210740398,0,0,210740398,0,1
chained,0.5,16,2,207943284,0,0,207943284,0,1
chained,0.5,16,3,208974312,0,0,208974312,0,1
chained,0.5,16,4,212414563,0,0,212414563,0,1
ch-mutex,0.5,16,0,128339859,6000222,0,122378546,3797278,1
ch-mutex,0.5,16,1,126533773,6023092,0,120524343,3703468,1
ch-mutex,0.5,16,2,125193329,6071601,0,119179836,3730811,1
ch-mutex,0.5,16,3,127954115,5977175,0,121936276,3847804,1
ch-mutex,0.5,16,4,128451006,6097590,0,122384396,3594233,1
ch-spin,0.5,16,0,124325551,5964925,0,118338091,3678726,1
ch-spin,0.5,16,1,124040205,6004796,0,118261797,3676527,1
ch-spin,0.5,16,2,129716780,6129594,0,123644841,15463975,1
ch-spin,0.5,16,3,127064548,6053358,0,120993861,3472345,1
ch-spin,0.5,16,4,124421235,5983001,0,118482299,3501575,1
unchained,0.5,24,0,37571409,6798904,630508,30141997,0,1
unchained,0.5,24,1,37564991,6835442,619432,30110117,0,1
unchained,0.5,24,2,37268981,6749682,618029,29901270,0,1
unchained,0.5,24,3,37420145,6823049,633220,29963876,0,1
unchained,0.5,24,4,37405391,6862370,621912,29921109,0,1
chained,0.5,24,0,153751915,0,0,153751915,0,1
chained,0.5,24,1,149711123,0,0,149711123,0,1
chained,0.5,24,2,151831037,0,0,151831037,0,1
chained,0.5,24,3,151941601,0,0,151941601,0,1
chained,0.5,24,4,152710855,0,0,152710855,0,1
ch-mutex,0.5,24,0,90999158,4318437,0,86649130,4172671,1
ch-mutex,0.5,24,1,91845223,4350212,0,87544047,5481248,1
ch-mutex,0.5,24,2,90713756,4361081,0,86385225,4583336,1
ch-mutex,0.5,24,3,89572317,4330356,0,85273851,4395430,1
ch-mutex,0.5,24,4,89518719,4294013,0,85313638,4287223,1
ch-spin,0.5,24,0,89502347,4321005,0,85173068,4442005,1
ch-spin,0.5,24,1,91254139,4357775,0,87075908,4184577,1
ch-spin,0.5,24,2,89005518,4314026,0,84763156,4287212,1
ch-spin,0.5,24,3,90738653,4291647,0,86550944,9417347,1
ch-spin,0.5,24,4,89566581,4352593,0,85352146,4367529,1
unchained,0.5,32,0,32793141,6719080,610671,25463390,0,1
unchained,0.5,32,1,32702035,6705969,604274,25391792,0,1
unchained,0.5,32,2,32754545,6692494,622047,25440004,0,1
unchained,0.5,32,3,32922087,6701335,637999,25582753,0,1
unchained,0.5,32,4,32906149,6745171,627403,25533575,0,1
chained,0.5,32,0,102855184,0,0,102855184,0,1
chained,0.5,32,1,103594834,0,0,103594834,0,1
chained,0.5,32,2,103426310,0,0,103426310,0,1
chained,0.5,32,3,107705585,0,0,107705585,0,1
chained,0.5,32,4,101667384,0,0,101667384,0,1
ch-mutex,0.5,32,0,75217254,3317981,0,71896616,10221043,1
ch-mutex,0.5,32,1,75724881,3336617,0,72321271,6817082,1
ch-mutex,0.5,32,2,75050389,3308356,0,71742505,6958538,1
ch-mutex,0.5,32,3,75305631,3383729,0,71906112,7671639,1
ch-mutex,0.5,32,4,75136979,3357080,0,71814843,7315080,1
ch-spin,0.5,32,0,75041526,3314575,0,71684707,5879094,1
ch-spin,0.5,32,1,74571625,3346193,0,71167321,6524506,1
ch-spin,0.5,32,2,75027871,3316835,0,71689637,6235234,1
ch-spin,0.5,32,3,81374723,3410658,0,78088337,36380206,1
ch-spin,0.5,32,4,74880867,3341564,0,71565948,7322564,1
unchained,0.5,48,0,29428765,6485383,661117,22282265,0,1
unchained,0.5,48,1,29570969,6570969,662034,22337966,0,1
unchained,0.5,48,2,29661845,6603964,668813,22389068,0,1
unchained,0.5,48,3,30563814,7434043,664908,22464863,0,1
unchained,0.5,48,4,29479080,6527815,656814,22294451,0,1
chained,0.5,48,0,78088643,0,0,78088643,0,1
chained,0.5,48,1,80337945,0,0,80337945,0,1
chained,0.5,48,2,77338029,0,0,77338029,0,1
chained,0.5,48,3,76850761,0,0,76850761,0,1
chained,0.5,48,4,85364400,0,0,85364400,0,1
ch-mutex,0.5,48,0,68261739,2342650,0,65873927,23674009,1
ch-mutex,0.5,48,1,67467067,2336515,0,65104886,27704425,1
ch-mutex,0.5,48,2,67916117,2307975,0,65451970,27228254,1
ch-mutex,0.5,48,3,67790011,2304163,0,65439183,27668213,1
ch-mutex,0.5,48,4,66027832,2328811,0,63611117,25884449,1
ch-spin,0.5,48,0,67028196,2351691,0,64682630,26056965,1
ch-spin,0.5,48,1,67360355,2314853,0,65023198,25200015,1
ch-spin,0.5,48,2,66297246,2320515,0,63945704,23205373,1
ch-spin,0.5,48,3,67765415,2316673,0,65389247,24031279,1
ch-spin,0.5,48,4,67157693,2312472,0,64728002,22864228,1
unchained,0.5,64,0,26370206,6248202,653310,19468694,0,1
unchained,0.5,64,1,26302851,6271655,652103,19379093,0,1
unchained,0.5,64,2,26589233,6307509,659276,19622448,0,1
unchained,0.5,64,3,26552443,6330159,656058,19566226,0,1
unchained,0.5,64,4,26409123,6285301,659905,19463917,0,1
chained,0.5,64,0,50210910,0,0,50210910,0,1
chained,0.5,64,1,56375466,0,0,56375466,0,1
chained,0.5,64,2,51012758,0,0,51012758,0,1
chained,0.5,64,3,258237292,0,0,258237292,0,1
chained,0.5,64,4,50171547,0,0,50171547,0,1
ch-mutex,0.5,64,0,66266138,1818863,0,64448331,77512665,1
ch-mutex,0.5,64,1,65079243,1775743,0,63208008,76420054,1
ch-mutex,0.5,64,2,64786999,1798868,0,62966655,73275932,1
ch-mutex,0.5,64,3,71678964,1814412,0,69884614,112219733,1
ch-mutex,0.5,64,4,65861994,1764623,0,64086648,71284026,1
ch-spin,0.5,64,0,65169774,1796909,0,63334694,70049446,1
ch-spin,0.5,64,1,66349399,1791501,0,64420132,73226097,1
ch-spin,0.5,64,2,64689449,1783524,0,62770008,72622175,1
ch-spin,0.5,64,3,64961421,1788490,0,63048754,74653377,1
ch-spin,0.5,64,4,64903615,1799412,0,63065504,76142259,1
unchained,0.5,96,0,30772637,8510793,688025,21573819,0,1
unchained,0.5,96,1,24651581,5733845,713774,18203962,0,1
unchained,0.5,96,2,24782025,5748666,684463,18348896,0,1
unchained,0.5,96,3,24577538,5695379,669618,18212541,0,1
unchained,0.5,96,4,30415319,7985844,689659,21739816,0,1
chained,0.5,96,0,52169099,0,0,52169099,0,1
chained,0.5,96,1,39403196,0,0,39403196,0,1
chained,0.5,96,2,322770681,0,0,322770681,0,1
chained,0.5,96,3,39964318,0,0,39964318,0,1
chained,0.5,96,4,39735582,0,0,39735582,0,1
ch-mutex,0.5,96,0,95458185,1273232,0,91442011,497769426,1
ch-mutex,0.5,96,1,71556300,1244718,0,70175221,312177087,1
ch-mutex,0.5,96,2,88237663,1267828,0,86771568,447694375,1
ch-mutex,0.5,96,3,95954103,1248393,0,94496594,520582940,1
ch-mutex,0.5,96,4,77215772,1266232,0,74743745,335339095,1
ch-spin,0.5,96,0,105060587,1247260,0,103718214,676765663,1
ch-spin,0.5,96,1,103004164,1247346,0,100363530,589727343,1
ch-spin,0.5,96,2,72092226,1249223,0,70560009,323193625,1
