# join_ht_build_bench
# host: aarch64  cpus=96
# rows=32000000 distinct=8000000 block=65536 umbra_parts=256 ch_parts=256 reps=5 warmup=1 seed=1 pin=1
# timing: unchained collect=bump-partition, count=part-prefix, insert=count+prefix+copy per partition
#         chained insert=slab materialize + atomic xchg/or (no partition)
#         ch-* collect=max-thread scatter, insert=max-thread latch+emplace, wall=parallel region
#         mmap/prefault/reserve are outside the timed region
# latch_pct = 100 * sum_thread(latch_ns) / (threads * wall_ns); CPU share of acquire vs wall
#
design           s    threads   med_ms   min_ms   max_ms    Mrps  collect_ms  count_ms  insert_ms  latch_pct  imb   ok
unchained       1.50        4   191.25   190.91   191.77  167.32       27.90      0.25     163.25      0.00 98.05  ok
chained         1.50        4   405.01   376.12   410.22   79.01        0.00      0.00     405.01      0.00 98.05  ok
ch-mutex        1.50        4   131.50   130.67   132.44  243.34       17.63      0.00     113.93      5.70 98.06  ok
ch-spin         1.50        4   129.48   128.69   131.91  247.13       17.60      0.00     111.96      5.29 98.06  ok
unchained       1.50        8   148.47   148.21   149.74  215.53       15.05      0.31     133.04      0.00 98.05  ok
chained         1.50        8   344.85   335.34   378.28   92.79        0.00      0.00     344.85      0.00 98.05  ok
ch-mutex        1.50        8   121.07   120.24   122.01  264.31        8.80      0.00     112.27     46.38 98.06  ok
ch-spin         1.50        8   143.90   138.35   149.65  222.38        8.81      0.00     135.06     29.55 98.06  ok
unchained       1.50       16   130.33   129.81   131.40  245.54        8.27      0.36     121.69      0.00 98.05  ok
chained         1.50       16   385.59   380.30   390.35   82.99        0.00      0.00     385.59      0.00 98.05  ok
ch-mutex        1.50       16   122.31   121.96   122.76  261.63        4.44      0.00     117.86     70.64 98.06  ok
ch-spin         1.50       16   132.00   128.60   152.58  242.43        4.44      0.00     127.58     46.12 98.06  ok
unchained       1.50       24   125.58   125.53   126.12  254.81        6.53      0.38     118.67      0.00 98.05  ok
chained         1.50       24   399.49   388.83   405.60   80.10        0.00      0.00     399.49      0.00 98.05  ok
ch-mutex        1.50       24   122.10   121.53   122.83  262.08        3.00      0.00     119.05     78.58 98.06  ok
ch-spin         1.50       24   136.84   126.85   166.57  233.85        2.98      0.00     133.87     50.83 98.06  ok
unchained       1.50       32   124.75   124.04   125.30  256.51        6.53      0.42     117.88      0.00 98.05  ok
chained         1.50       32   401.67   394.28   404.27   79.67        0.00      0.00     401.67      0.00 98.05  ok
ch-mutex        1.50       32   122.48   121.56   122.91  261.27        2.29      0.00     120.17     81.62 98.06  ok
ch-spin         1.50       32   131.12   122.64   147.66  244.06        2.25      0.00     128.83     54.33 98.06  ok
unchained       1.50       48   124.76   123.46   125.80  256.49        5.95      0.46     118.24      0.00 98.05  ok
chained         1.50       48   406.05   399.81   419.80   78.81        0.00      0.00     406.05      0.00 98.05  ok
ch-mutex        1.50       48   123.60   123.29   124.45  258.90        1.55      0.00     122.02     85.89 98.06  ok
ch-spin         1.50       48   126.17   122.45   150.72  253.63        1.53      0.00     124.63     55.64 98.06  ok
unchained       1.50       64   123.42   122.52   127.54  259.27        5.92      0.50     116.86      0.00 98.05  ok
chained         1.50       64   406.62   405.52   408.84   78.70        0.00      0.00     406.62      0.00 98.05  ok
ch-mutex        1.50       64   125.07   124.65   125.61  255.86        1.20      0.00     123.78     83.91 98.06  ok
ch-spin         1.50       64   145.16   128.25   150.16  220.44        1.16      0.00     143.83     55.41 98.06  ok
unchained       1.50       96   124.29   122.55   321.31  257.47        7.23      0.61     116.80      0.00 98.05  ok
chained         1.50       96   394.65   387.12   632.64   81.08        0.00      0.00     394.65      0.00 98.05  ok
ch-mutex        1.50       96   136.47   130.75   186.17  234.48        0.85      0.00     135.00     84.50 98.06  ok
ch-spin         1.50       96   168.08   128.00   421.17  190.39        0.83      0.00     166.21     69.03 98.06  ok

# s=0 scaling vs Birler et al. Figure 12 (shape, not numbers): unchained should flatten earlier than chained-atomic.
# speedup vs 1 thread at s=0:
#   threads  unchained  chained
#         1       1.00     1.00
#         2       1.96     1.51
#         4       3.81     2.82
#         8       7.16     5.56
#        16      12.35    10.86
#        24      15.07    16.23
#        32      17.32    21.96
#        48      18.82    32.12
#        64      20.58    44.31
#        96      17.31    63.08
# first thread count where a further step gains < 20%: unchained=24 chained=96  (ordering matches the paper's figure)
