point_id	key_config	dups	hit_rate	build_rows	threads	status	candidate_result	baseline_result	seconds
1e5_16B_fs16_x8_h0.50_t1	16B_fs16	x8	0.50	100000	1	PASS	800000\t2823546738433400150\t15779055090536392472\n	800000\t2823546738433400150\t15779055090536392472\n	0.26
1e5_16B_fs16_x8_h0.50_t32	16B_fs16	x8	0.50	100000	32	PASS	800000\t2823546738433400150\t15779055090536392472\n	800000\t2823546738433400150\t15779055090536392472\n	0.27
1e5_16B_fs16_x8_h1.00_t32	16B_fs16	x8	1.00	100000	32	PASS	1600000\t970384254199953572\t7772941473218325508\n	1600000\t970384254199953572\t7772941473218325508\n	0.32
1e5_16B_fs16_x8_h0.05_t1	16B_fs16	x8	0.05	100000	1	PASS	80000\t8327658853417679841\t1161214283174967619\n	80000\t8327658853417679841\t1161214283174967619\n	0.23
1e5_16B_fs16_x8_h0.05_t32	16B_fs16	x8	0.05	100000	32	PASS	80000\t8327658853417679841\t1161214283174967619\n	80000\t8327658853417679841\t1161214283174967619\n	0.25
1e5_16B_fs16_skew_h1.00_t1	16B_fs16	skew	1.00	100000	1	PASS	1599748\t527960180760924816\t14941799807572149112\n	1599748\t527960180760924816\t14941799807572149112\n	0.31
1e5_16B_fs16_skew_h1.00_t32	16B_fs16	skew	1.00	100000	32	PASS	1599748\t527960180760924816\t14941799807572149112\n	1599748\t527960180760924816\t14941799807572149112\n	0.34
1e5_16B_fs16_skew_h0.50_t1	16B_fs16	skew	0.50	100000	1	PASS	799876\t6207046866690534368\t13260267751980950462\n	799876\t6207046866690534368\t13260267751980950462\n	0.29
1e5_16B_fs16_skew_h0.05_t1	16B_fs16	skew	0.05	100000	1	PASS	80000\t10910360129232964804\t760669120563950950\n	80000\t10910360129232964804\t760669120563950950\n	0.24
1e5_16B_fs16_skew_h0.50_t32	16B_fs16	skew	0.50	100000	32	PASS	799876\t6207046866690534368\t13260267751980950462\n	799876\t6207046866690534368\t13260267751980950462\n	0.28
1e5_16B_2xu64_unique_h1.00_t1	16B_2xu64	unique	1.00	100000	1	PASS	200000\t8917126860915250666\t17585357805099819322\n	200000\t8917126860915250666\t17585357805099819322\n	0.22
1e5_16B_fs16_skew_h0.05_t32	16B_fs16	skew	0.05	100000	32	PASS	80000\t10910360129232964804\t760669120563950950\n	80000\t10910360129232964804\t760669120563950950\n	0.27
1e5_16B_2xu64_unique_h1.00_t32	16B_2xu64	unique	1.00	100000	32	PASS	200000\t8917126860915250666\t17585357805099819322\n	200000\t8917126860915250666\t17585357805099819322\n	0.25
1e5_16B_2xu64_unique_h0.05_t1	16B_2xu64	unique	0.05	100000	1	PASS	10000\t7335580943903603365\t682487050073451145\n	10000\t7335580943903603365\t682487050073451145\n	0.21
1e5_16B_2xu64_unique_h0.50_t1	16B_2xu64	unique	0.50	100000	1	PASS	100000\t12463396106290389114\t4993172666364788342\n	100000\t12463396106290389114\t4993172666364788342\n	0.24
1e5_16B_2xu64_unique_h0.50_t32	16B_2xu64	unique	0.50	100000	32	PASS	100000\t12463396106290389114\t4993172666364788342\n	100000\t12463396106290389114\t4993172666364788342\n	0.28
1e5_16B_2xu64_unique_h0.05_t32	16B_2xu64	unique	0.05	100000	32	PASS	10000\t7335580943903603365\t682487050073451145\n	10000\t7335580943903603365\t682487050073451145\n	0.28
1e5_16B_2xu64_x8_h1.00_t1	16B_2xu64	x8	1.00	100000	1	PASS	1600000\t11288126601659679089\t6511913140278280939\n	1600000\t11288126601659679089\t6511913140278280939\n	0.29
