probe_ab_report: 1 file(s), 8112 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier a: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 368   win=161 tie=51 loss=156   no-verdict=8
  aggregate 230,541.8 ms -> 210,259.1 ms (-8.8%)
  median per-cell delta +0.4%
  LOSSES on probe_cost: 156
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    stackoverflow__votes_PostId__posts_Id__T96__tiera    4,144.4    4,383.9    +5.8%   4.9%               0.0->6.3       4,144.4->4,377.7         7,838.2->8,266.3
    tpcds__web_returns_wr_item_sk__item_i_item_sk__T16__tiera       20.3       21.5    +5.7%   3.0%               0.0->0.1             20.3->21.4               62.6->77.0
    tpcds__web_returns_wr_reason_sk__reason_r_reason_sk__T96__tiera       15.2       16.1    +5.7%   3.0%               0.0->0.3             15.2->15.9             111.4->107.0
    tpcds__web_sales_ws_ship_hdemo_sk__household_demographics_hd_demo_sk__T96__tiera      339.3      357.3    +5.3%   3.0%               0.1->1.6           339.2->355.8             948.8->946.3
    tpcds__catalog_sales_cs_bill_hdemo_sk__household_demographics_hd_demo_sk__T96__tiera      671.1      706.2    +5.2%   3.0%               0.2->3.0           670.9->703.1         1,860.0->1,850.9
    tpcds__store_sales_ss_hdemo_sk__household_demographics_hd_demo_sk__T96__tiera    1,326.3    1,394.2    +5.1%   3.0%               0.3->6.1       1,326.1->1,388.0         3,611.4->3,570.7
    tpcds__catalog_sales_cs_catalog_page_sk__catalog_page_cp_catalog_page_sk__T16__tiera      413.5      434.2    +5.0%   3.0%               0.0->2.2           413.5->432.0             965.1->992.0
    tpcds__web_sales_ws_warehouse_sk__warehouse_w_warehouse_sk__T16__tiera      126.7      133.0    +5.0%   3.0%               0.0->1.2           126.7->131.8             646.3->668.8
    tpcds__web_sales_ws_ship_mode_sk__ship_mode_sm_ship_mode_sk__T16__tiera      126.5      132.7    +4.9%   3.0%               0.0->1.1           126.5->131.6             514.3->522.2
    tpcds__catalog_returns_cr_call_center_sk__call_center_cc_call_center_sk__T96__tiera       31.1       32.5    +4.6%   3.0%               0.0->0.5             31.1->32.0             209.6->198.1
    job__cast_info_person_id__aka_name_person_id__T96__tiera      420.9      440.1    +4.6%   3.0%               0.1->2.5           420.9->437.7         1,860.8->1,940.9
    tpcds__web_sales_ws_warehouse_sk__warehouse_w_warehouse_sk__T96__tiera      157.0      163.8    +4.3%   3.0%               0.1->1.6           156.8->162.2             901.3->892.9
    tpcds__inventory_inv_warehouse_sk__warehouse_w_warehouse_sk__T96__tiera      213.0      222.2    +4.3%   3.0%               0.1->2.1           212.9->220.1         1,065.6->1,045.2
    tpcds__catalog_sales_cs_ship_mode_sk__ship_mode_sm_ship_mode_sk__T96__tiera      326.7      340.7    +4.3%   3.0%               0.4->3.3           326.2->337.5         1,979.0->1,731.9
    tpcds__store_returns_sr_reason_sk__reason_r_reason_sk__T16__tiera       52.0       54.2    +4.2%   3.0%               0.0->0.4             52.0->53.8             253.5->267.3
    tpcds__catalog_sales_cs_warehouse_sk__warehouse_w_warehouse_sk__T16__tiera      255.1      265.4    +4.0%   3.0%               0.0->2.3           255.1->263.1         1,283.1->1,303.7
    tpcds__catalog_sales_cs_warehouse_sk__warehouse_w_warehouse_sk__T96__tiera      310.0      322.4    +4.0%   3.0%               0.2->3.2           309.9->319.4         1,737.7->1,751.6
    tpcds__web_sales_ws_web_site_sk__web_site_web_site_sk__T16__tiera      127.3      132.4    +4.0%   3.0%               0.0->1.2           127.3->131.2             714.6->787.6
    tpch__customer_c_nationkey__nation_n_nationkey__T96__tiera       36.7       38.1    +4.0%   3.0%               0.0->0.4             36.7->37.7             135.3->127.1
    tpcds__inventory_inv_warehouse_sk__warehouse_w_warehouse_sk__T16__tiera      180.5      187.5    +3.9%   3.0%               0.0->1.4           180.5->186.3             799.2->813.1
    tpcds__catalog_sales_cs_catalog_page_sk__catalog_page_cp_catalog_page_sk__T96__tiera      491.6      510.2    +3.8%   3.0%               0.4->3.2           491.3->507.0         1,447.3->1,403.4
    job__cast_info_role_id__role_type_id__T16__tiera      194.8      201.8    +3.6%   3.0%               0.0->1.6           194.8->200.2             608.7->625.0
    tpcds__catalog_sales_cs_ship_mode_sk__ship_mode_sm_ship_mode_sk__T16__tiera      253.3      262.0    +3.5%   3.0%               0.0->2.0           253.2->260.0         1,022.9->1,028.0
    tpcds__web_sales_ws_ship_mode_sk__ship_mode_sm_ship_mode_sk__T96__tiera      162.8      168.4    +3.5%   3.0%               0.2->1.6           162.5->166.8           1,002.0->875.4
    tpcds__store_returns_sr_store_sk__store_s_store_sk__filtered__T16__tiera       93.1       96.3    +3.4%   3.0%               0.0->0.4             93.1->95.9             210.1->216.4
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__T96__tiera       48.0       49.6    +3.3%   3.0%               0.0->0.3             48.0->49.3             208.1->198.0
    tpcds__catalog_sales_cs_call_center_sk__call_center_cc_call_center_sk__T16__tiera      254.3      262.3    +3.1%   3.0%               0.0->2.4           254.3->260.0         1,409.6->1,428.1
  WINS on probe_cost: 161
    tpcds__customer_address_ca_zip__store_s_zip__T16__tiera        6.6 ->        4.0   -39.8% (band 3.0%)
    tpch__lineitem_l_partkey__part_p_partkey__T16__tiera    5,309.5 ->    3,274.1   -38.3% (band 3.0%)
    tpch__lineitem_l_partkey__partsupp_ps_partkey__composite__T16__tiera    5,426.3 ->    3,393.7   -37.5% (band 3.0%)
    tpch__orders_o_custkey__customer_c_custkey__T16__tiera    1,277.7 ->      816.8   -36.1% (band 3.0%)
    tpch__orders_o_custkey__customer_c_custkey__left__T16__tiera    1,317.9 ->      846.9   -35.7% (band 3.0%)
