probe_ab_report: 1 file(s), 8112 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier a: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 368   win=161 tie=51 loss=156   no-verdict=8
  aggregate 230,541.8 ms -> 210,259.1 ms (-8.8%)
  median per-cell delta +0.4%
  LOSSES on probe_cost: 156
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    job__movie_keyword_movie_id__aka_title_movie_id__T16__tiera      110.0      132.2   +20.1%   5.1%               0.0->0.1             30.7->32.4             140.9->164.0
    tpcds__web_sales_ws_ship_addr_sk__customer_address_ca_address_sk__T16__tiera    1,129.4    1,356.4   +20.1%   3.0%               0.0->1.2           343.3->221.0         1,472.8->1,578.3
    tpcds__catalog_sales_cs_bill_addr_sk__customer_address_ca_address_sk__T16__tiera    2,236.3    2,677.5   +19.7%   3.0%               0.0->2.5           683.8->450.5         2,920.5->3,130.6
    tpcds__catalog_sales_cs_sold_time_sk__time_dim_t_time_sk__T16__tiera      661.7      787.1   +18.9%   3.0%               0.0->2.2           783.9->590.9         1,445.2->1,380.1
    stackoverflow__comments_PostId__posts_Id__T96__tiera    1,811.4    2,152.5   +18.8%   3.0%               0.0->3.1       3,376.8->4,634.4         5,189.3->6,790.1
    stackoverflow__postlinks_RelatedPostId__posts_Id__T96__tiera      815.9      967.7   +18.6%   3.0%               0.0->0.3         764.1->1,741.5         1,572.4->2,715.6
    tpcds__store_returns_sr_item_sk__item_i_item_sk__T16__tiera      167.4      198.2   +18.4%   3.0%               0.0->0.4             73.3->74.4             240.6->273.1
    job__movie_info_movie_id__title_id__T16__tiera      339.1      401.1   +18.3%   3.0%               0.0->1.4           189.7->155.8             528.9->557.8
    job__movie_info_movie_id__movie_info_idx_movie_id__T16__tiera      608.6      719.2   +18.2%   3.0%               0.0->1.5           216.5->170.4             824.6->890.6
    job__movie_companies_company_id__company_name_id__T16__tiera       94.1      111.2   +18.1%   3.5%               0.0->0.2             25.9->19.9             119.8->132.1
    tpch__lineitem_l_suppkey__supplier_s_suppkey__T96__tiera   21,367.6   25,238.3   +18.1%   3.0%              0.2->15.5       4,109.3->3,249.0       25,468.9->28,526.9
    job__movie_info_movie_id__movie_companies_movie_id__T16__tiera    1,825.9    2,148.0   +17.6%   3.0%               0.0->1.8           216.4->182.4         2,042.3->2,332.4
    tpcds__catalog_sales_cs_ship_customer_sk__customer_c_customer_sk__T96__tiera    4,334.6    5,093.6   +17.5%   3.0%               0.1->3.4           851.2->737.1         5,164.4->5,828.5
    job__movie_companies_company_type_id__company_type_id__filtered__T16__tiera       16.9       19.9   +17.4%   6.6%               0.0->0.1              8.8->11.2               25.6->31.1
    tpcds__customer_c_first_sales_date_sk__date_dim_d_date_sk__T16__tiera        8.7       10.2   +17.2%   4.0%               0.0->0.1               5.2->4.9               13.9->15.1
    tpcds__inventory_inv_item_sk__item_i_item_sk__T16__tiera      602.7      705.2   +17.0%   3.0%               0.0->1.4           394.3->290.5             997.5->995.9
    job__cast_info_person_role_id__char_name_id__T16__tiera      657.3      769.0   +17.0%   3.0%               0.0->1.8           230.6->177.1             887.8->947.6
    tpcds__catalog_sales_cs_bill_customer_sk__customer_c_customer_sk__T96__tiera    4,330.1    5,059.1   +16.8%   3.0%               0.1->3.4           836.2->743.9         5,165.3->5,809.2
    job__title_id__movie_info_idx_movie_id__T16__tiera       63.3       73.9   +16.7%   3.0%               0.0->0.2             37.5->32.3             100.7->106.4
    job__person_info_info_type_id__info_type_id__filtered__T16__tiera        2.2        2.6   +16.7%   3.0%               0.0->0.1               6.1->8.1                8.3->10.8
    tpcds__store_sales_ss_sold_time_sk__time_dim_t_time_sk__T16__tiera    1,187.0    1,384.4   +16.6%   3.0%               0.0->4.3       1,425.1->1,195.5         2,614.2->2,581.8
    job__cast_info_person_id__name_id__T16__tiera       979.5    1,142.1   +16.6%   3.0%               0.0->1.9           302.4->253.0         1,282.8->1,396.0
    job__movie_companies_movie_id__title_id__filtered__T16__tiera       22.2       25.8   +16.2%   3.0%               0.0->0.1             28.6->26.2               50.8->52.3
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__T96__tiera    8,457.0    9,796.0   +15.8%   3.0%               0.3->6.8       1,654.3->1,493.4       10,109.1->11,296.1
    job__cast_info_movie_id__movie_info_movie_id__T16__tiera   56,676.2   65,503.9   +15.6%   3.0%               0.0->3.7           752.4->638.2       57,430.4->66,149.3
    job__movie_info_movie_id__title_id__filtered__T16__tiera      168.1      193.8   +15.3%   3.0%               0.0->1.3           175.6->152.9             343.8->348.2
    tpcds__inventory_inv_item_sk__item_i_item_sk__filtered__T16__tiera      108.5      125.0   +15.2%   3.0%               0.0->1.1           188.3->209.6             296.7->335.3
    job__movie_companies_company_id__company_name_id__filtered__T16__tiera        8.2        9.5   +15.1%   3.0%               0.0->0.1             24.6->27.4               32.8->36.9
    tpcds__catalog_sales_cs_sold_time_sk__time_dim_t_time_sk__T96__tiera      863.7      992.3   +14.9%   3.0%               0.0->2.6           897.0->661.5         1,762.9->1,656.4
    job__movie_info_info_type_id__info_type_id__filtered__T16__tiera        6.3        7.3   +14.8%   3.0%               0.0->0.8             25.3->37.6               31.7->45.7
    tpcds__web_sales_ws_item_sk__item_i_item_sk__T16__tiera      418.1      479.6   +14.7%   3.0%               0.0->1.1           174.7->172.5             592.8->652.9
    tpcds__catalog_returns_cr_returned_date_sk__date_dim_d_date_sk__filtered__T16__tiera       18.0       20.6   +14.7%   4.7%               0.0->0.2             18.8->23.0               36.8->43.8
    tpcds__web_sales_ws_item_sk__web_returns_wr_item_sk__composite__T96__tiera       48.5       55.6   +14.5%   3.7%               0.0->0.9           887.5->807.3             935.6->862.8
    stackoverflow__badges_UserId__users_Id__T96__tiera      957.1    1,095.5   +14.5%   3.0%               0.0->2.3         1,027.0->932.0         1,985.8->2,029.7
    tpcds__store_returns_sr_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera      828.3      946.7   +14.3%   3.0%               0.0->0.6           205.4->171.5         1,034.2->1,120.7
    job__movie_keyword_movie_id__movie_info_idx_movie_id__T16__tiera      174.1      198.9   +14.3%   3.0%               0.0->0.1             34.7->35.5             208.7->235.4
    tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T96__tiera      434.5      496.4   +14.2%   3.0%               0.0->1.3           450.4->329.7             890.4->828.9
    tpcds__store_sales_ss_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera    8,105.1    9,259.1   +14.2%   3.0%               0.2->6.4       2,334.4->1,823.2       10,436.6->11,088.5
    job__cast_info_movie_id__movie_info_idx_movie_id__T16__tiera    2,868.8    3,275.1   +14.2%   3.0%               0.0->2.0           579.1->443.5         3,448.4->3,719.0
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__filtered__T16__tiera       13.8       15.7   +14.0%   3.0%               0.0->0.2             15.8->18.3               29.6->34.2
    tpcds__customer_c_first_sales_date_sk__date_dim_d_date_sk__filtered__T16__tiera        1.6        1.8   +13.8%   4.4%               0.0->0.0               2.4->2.9                 4.0->4.8
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__T16__tiera      831.7      946.5   +13.8%   3.0%               0.0->2.1           342.3->339.6         1,174.1->1,287.8
    tpch__partsupp_ps_partkey__part_p_partkey__T96__tiera      842.8      958.6   +13.7%   3.0%               0.0->1.4         1,012.2->966.7         1,857.2->1,953.4
    tpcds__web_returns_wr_item_sk__item_i_item_sk__filtered__T16__tiera        6.6        7.5   +13.7%   5.3%               0.0->0.1               8.0->9.2               14.5->16.7
    tpcds__web_sales_ws_bill_customer_sk__customer_c_customer_sk__T96__tiera    2,277.3    2,588.3   +13.7%   3.0%               0.1->1.7           424.3->348.0         2,703.9->2,940.5
    tpch__partsupp_ps_partkey__part_p_partkey__filtered__T16__tiera       19.5       22.1   +13.3%   3.0%               0.0->1.0           169.5->180.8             189.0->203.9
    tpcds__store_returns_sr_item_sk__item_i_item_sk__filtered__T16__tiera       26.6       30.1   +13.1%   3.0%               0.0->0.3             29.4->34.6               56.0->64.8
    job__movie_keyword_movie_id__title_id__filtered__T16__tiera       24.8       28.0   +12.9%   3.0%               0.0->0.1             25.3->29.2               50.2->57.5
    tpcds__customer_address_ca_county__store_s_county__filtered__T16__tiera        1.9        2.1   +12.9%   3.0%               0.0->0.0               1.3->1.8                 3.2->3.9
    tpcds__web_returns_wr_returning_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera      218.9      247.1   +12.9%   3.0%               0.0->0.2             60.6->67.8             279.2->314.3
    tpcds__store_sales_ss_item_sk__item_i_item_sk__T16__tiera    1,662.4    1,876.5   +12.9%   3.0%               0.0->4.3           676.2->668.9         2,340.2->2,551.8
    tpcds__catalog_sales_cs_bill_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera    4,236.5    4,772.4   +12.7%   3.0%               0.1->3.2         1,159.7->904.8         5,381.0->5,676.9
    tpcds__web_returns_wr_reason_sk__reason_r_reason_sk__T16__tiera       48.2       54.3   +12.6%   6.7%               0.0->0.1             13.3->13.5               61.4->67.9
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__filtered__T16__tiera        1.6        1.8   +12.5%   4.2%               0.0->0.0               2.4->2.9                 3.9->4.8
    tpch__lineitem_l_partkey__part_p_partkey__filtered__T16__tiera      265.4      297.7   +12.2%   3.0%               0.0->7.8       2,643.4->2,386.7         2,909.3->2,691.2
    job__cast_info_movie_id__movie_keyword_movie_id__T16__tiera    3,189.9    3,578.6   +12.2%   3.0%               0.0->2.4           629.3->481.2         3,818.8->4,062.8
    job__cast_info_movie_id__title_id__filtered__T96__tiera    1,352.8    1,515.0   +12.0%   3.0%               0.1->2.3           673.2->577.1         2,023.4->2,081.4
    job__movie_info_movie_id__title_id__filtered__T96__tiera      322.7      361.0   +11.9%   3.0%               0.1->1.4           282.7->257.4             604.7->620.2
    job__movie_keyword_movie_id__movie_companies_movie_id__T16__tiera      615.9      687.8   +11.7%   3.0%               0.0->0.2             41.2->48.2             657.0->736.9
    tpcds__web_sales_ws_web_site_sk__web_site_web_site_sk__T16__tiera      587.1      655.5   +11.6%   3.0%               0.0->1.2           127.3->131.2             714.6->787.6
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__filtered__T16__tiera      124.4      138.9   +11.6%   3.0%               0.0->1.5           126.1->153.3             250.5->293.6
    job__movie_companies_movie_id__aka_title_movie_id__T16__tiera       73.6       82.1   +11.5%   3.0%               0.0->0.2             32.7->28.3             106.4->110.5
    job__movie_info_movie_id__aka_title_movie_id__T16__tiera      443.7      494.2   +11.4%   3.0%               0.0->1.5           198.0->159.8             641.3->655.3
    tpcds__catalog_returns_cr_returning_addr_sk__customer_address_ca_address_sk__T96__tiera      299.2      332.9   +11.2%   5.9%               0.0->0.5             89.4->64.1             388.6->400.5
    job__movie_info_idx_movie_id__complete_cast_movie_id__T16__tiera       16.7       18.5   +11.1%   3.0%               0.0->0.1             10.5->11.8               27.2->30.5
    job__movie_info_movie_id__title_id__T96__tiera      583.0      647.0   +11.0%   3.0%               0.1->1.5           383.4->320.9             965.5->969.3
    tpch__partsupp_ps_suppkey__supplier_s_suppkey__T96__tiera    1,311.7    1,453.4   +10.8%   3.0%               0.0->1.7           644.0->451.8         1,963.5->1,912.9
    tpcds__web_sales_ws_item_sk__item_i_item_sk__filtered__T16__tiera       63.8       70.4   +10.4%   3.0%               0.0->0.8             66.5->79.7             130.3->151.0
    job__name_id__aka_name_person_id__T16__tiera         90.9      100.3   +10.3%   3.0%               0.0->0.4             59.0->51.4             149.8->152.4
    tpcds__store_sales_ss_item_sk__item_i_item_sk__filtered__T16__tiera      241.1      265.6   +10.2%   3.0%               0.0->3.0           243.0->296.2             484.1->565.7
    tpch__orders_o_custkey__customer_c_custkey__filtered__T96__tiera    1,510.6    1,663.2   +10.1%   3.0%               0.4->4.2       1,360.6->1,190.5         2,869.3->2,870.7
    job__movie_keyword_keyword_id__keyword_id__T16__tiera       78.3       86.1   +10.0%   3.0%               0.0->0.1             37.7->27.4             116.3->113.5
    job__movie_info_movie_id__movie_info_idx_movie_id__T96__tiera      942.7    1,037.1   +10.0%   3.0%               0.1->1.7           319.1->243.0         1,261.5->1,280.9
    job__cast_info_person_id__aka_name_person_id__T16__tiera      848.7      930.3    +9.6%   3.0%               0.0->1.9           256.3->245.9         1,105.2->1,178.1
    stackoverflow__comments_UserId__users_Id__T96__tiera    8,613.0    9,424.0    +9.4%   3.0%               0.0->3.0       1,518.5->1,274.3       10,139.3->10,707.6
    job__person_info_person_id__aka_name_person_id__T96__tiera      153.9      168.4    +9.4%   3.0%               0.0->0.8             58.8->47.6             212.6->216.4
    tpcds__customer_c_current_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera       44.6       48.8    +9.4%   3.0%               0.0->0.1              7.9->11.0               52.7->59.6
    tpcds__web_returns_wr_returning_addr_sk__customer_address_ca_address_sk__T96__tiera      141.8      155.1    +9.4%   3.0%               0.0->0.3             44.4->31.9             186.8->186.8
    tpcds__customer_c_customer_sk__catalog_returns_cr_returning_customer_sk__T16__tiera      385.2      420.9    +9.3%   3.0%               0.0->0.1              7.5->17.2             392.8->440.6
    job__movie_companies_company_id__company_name_id__T96__tiera      107.3      117.1    +9.2%   3.0%               0.0->0.3             33.6->25.9             141.3->143.7
    job__cast_info_person_id__name_id__T96__tiera     1,582.3    1,720.7    +8.8%   3.0%               0.1->2.3           555.1->607.3         2,128.0->2,328.3
    tpch__orders_o_custkey__customer_c_custkey__T96__tiera    7,225.8    7,853.2    +8.7%   3.0%               0.2->4.4       2,147.3->1,590.1         9,373.3->9,465.2
    job__movie_companies_movie_id__movie_info_idx_movie_id__T96__tiera      140.6      152.5    +8.5%   3.0%               0.0->0.3             47.4->40.4             188.6->194.6
    tpcds__customer_address_ca_zip__store_s_zip__filtered__T16__tiera        2.3        2.5    +8.5%   7.5%               0.0->0.0               6.6->4.8                 8.9->7.3
    job__name_id__aka_name_person_id__T96__tiera        140.8      152.7    +8.4%   3.0%               0.0->0.5             86.5->74.0             228.2->228.9
    stackoverflow__votes_PostId__posts_Id__T96__tiera    3,604.6    3,908.5    +8.4%   3.0%               0.0->6.3       4,144.4->4,377.7         7,838.2->8,266.3
    job__cast_info_movie_id__movie_info_idx_movie_id__T96__tiera    3,324.5    3,604.2    +8.4%   3.0%               0.1->2.6           689.5->548.7         4,020.1->4,156.0
    stackoverflow__posts_OwnerUserId__users_Id__T96__tiera    7,567.1    8,200.1    +8.4%   3.0%               0.0->2.6       1,389.1->1,194.9         8,958.7->9,391.9
    tpch__lineitem_l_orderkey__orders_o_orderkey__T96__tiera    4,126.4    4,468.3    +8.3%   3.0%              0.3->16.4       6,775.1->6,024.1       10,892.7->10,528.1
    job__title_id__aka_title_movie_id__T16__tiera        40.7       44.0    +8.1%   3.0%               0.0->0.2             33.7->28.0               74.5->72.0
    tpcds__web_sales_ws_bill_addr_sk__customer_address_ca_address_sk__T96__tiera    1,460.4    1,577.3    +8.0%   4.4%               0.1->1.7           404.9->307.8         1,864.6->1,875.1
    tpcds__customer_c_current_addr_sk__customer_address_ca_address_sk__T96__tiera       29.9       32.2    +8.0%   3.0%               0.0->0.1               8.2->5.3               38.1->37.6
    tpch__orders_o_custkey__customer_c_custkey__left__T96__tiera    7,474.1    8,069.6    +8.0%   3.0%               0.4->4.6       2,326.6->1,674.4         9,775.6->9,784.8
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__filtered__T16__tiera       39.9       43.1    +7.9%   3.0%               0.0->0.4             52.9->63.9              92.6->107.5
    tpcds__catalog_sales_cs_bill_addr_sk__customer_address_ca_address_sk__T96__tiera    2,903.8    3,128.8    +7.8%   3.0%               0.1->3.5           792.6->677.6         3,699.8->3,809.9
    job__cast_info_person_role_id__char_name_id__T96__tiera      972.7    1,047.1    +7.7%   3.0%               0.1->2.1           363.1->271.1         1,335.6->1,316.7
    tpcds__web_returns_wr_refunded_addr_sk__customer_address_ca_address_sk__T96__tiera      143.4      154.4    +7.7%   3.0%               0.0->0.3             43.9->31.9             186.6->187.6
    tpch__lineitem_l_partkey__part_p_partkey__filtered__T96__tiera      518.2      557.3    +7.5%   3.0%              0.2->12.7       2,857.4->2,637.6         3,376.4->3,206.2
    job__movie_info_idx_info_type_id__info_type_id__T16__tiera       15.7       16.9    +7.4%   3.0%               0.0->0.1               7.4->6.8               23.1->23.6
    tpcds__customer_c_current_hdemo_sk__household_demographics_hd_demo_sk__T16__tiera        9.9       10.6    +7.4%   3.0%               0.0->0.1               6.9->7.4               16.9->18.1
    tpcds__catalog_sales_cs_ship_addr_sk__customer_address_ca_address_sk__T96__tiera    2,907.3    3,120.6    +7.3%   3.0%               0.1->3.6           804.7->684.1         3,693.0->3,805.7
    tpcds__web_returns_wr_refunded_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera      226.2      242.8    +7.3%   3.0%               0.0->0.2             60.4->69.4             285.6->312.4
    tpcds__web_sales_ws_ship_addr_sk__customer_address_ca_address_sk__T96__tiera    1,480.8    1,588.1    +7.2%   3.0%               0.1->1.7           405.7->308.2         1,888.5->1,903.8
    tpch__partsupp_ps_partkey__part_p_partkey__T16__tiera      597.5      639.1    +7.0%   3.0%               0.0->1.3           497.5->321.9           1,093.1->958.6
    tpcds__store_sales_ss_sold_time_sk__time_dim_t_time_sk__T96__tiera    1,525.1    1,630.0    +6.9%   3.0%               0.1->5.2       1,667.4->1,325.4         3,194.0->2,959.6
    job__movie_info_movie_id__complete_cast_movie_id__T16__tiera      236.0      252.1    +6.8%   3.0%               0.0->1.4           159.6->141.2             395.7->394.9
    job__title_id__movie_info_idx_movie_id__T96__tiera       79.5       84.9    +6.8%   3.0%               0.0->0.3             42.9->38.5             122.0->124.0
    job__movie_companies_movie_id__complete_cast_movie_id__T16__tiera       38.5       41.1    +6.8%   3.0%               0.0->0.2             27.0->24.5               65.4->65.7
    tpch__partsupp_ps_partkey__part_p_partkey__filtered__T96__tiera       31.0       33.1    +6.7%   4.1%               0.0->1.1           190.2->212.8             220.9->246.9
    tpcds__store_sales_ss_addr_sk__customer_address_ca_address_sk__T96__tiera    5,638.6    6,016.7    +6.7%   3.0%               0.3->6.9       1,557.8->1,384.9         7,205.4->7,397.5
    job__movie_keyword_movie_id__complete_cast_movie_id__T16__tiera       43.7       46.6    +6.6%   3.0%               0.0->0.1             24.5->29.3               68.2->75.9
    job__cast_info_movie_id__complete_cast_movie_id__T96__tiera      767.6      815.3    +6.2%   3.0%               0.0->2.4           511.3->439.7         1,282.0->1,254.9
    tpcds__customer_address_ca_county__store_s_county__T16__tiera        2.4        2.5    +6.1%   5.1%               0.0->0.0               1.3->1.6                 3.7->4.2
    tpcds__web_sales_ws_web_page_sk__web_page_wp_web_page_sk__T16__tiera      225.4      239.1    +6.1%   3.0%               0.0->1.0           130.5->143.7             355.7->384.7
    tpch__supplier_s_nationkey__nation_n_nationkey__T16__tiera        4.9        5.2    +6.1%   3.0%               0.0->0.1               2.6->2.7                 7.5->7.9
    stackoverflow__comments_PostId__posts_Id__T16__tiera    1,535.0    1,624.1    +5.8%   3.0%               0.0->2.2       1,589.7->1,357.7         3,120.1->2,985.8
    tpcds__store_returns_sr_reason_sk__reason_r_reason_sk__T16__tiera      201.5      213.0    +5.7%   3.2%               0.0->0.4             52.0->53.8             253.5->267.3
    tpcds__web_returns_wr_item_sk__item_i_item_sk__filtered__T96__tiera        8.2        8.7    +5.7%   3.4%               0.0->0.1              9.4->10.1               17.6->18.8
    job__movie_info_movie_id__movie_companies_movie_id__T96__tiera    3,354.8    3,542.9    +5.6%   3.0%               0.1->2.0           437.1->374.4         3,791.4->3,913.3
    tpcds__web_sales_ws_ship_hdemo_sk__household_demographics_hd_demo_sk__T16__tiera      395.6      417.6    +5.6%   3.0%               0.0->1.1           302.3->321.2             697.8->742.9
    job__movie_keyword_movie_id__movie_companies_movie_id__T96__tiera      875.3      922.6    +5.4%   3.0%               0.0->0.2            70.6->137.0           943.8->1,056.7
    stackoverflow__badges_UserId__users_Id__T16__tiera      737.5      777.3    +5.4%   3.0%               0.0->1.5           620.8->475.6         1,357.5->1,254.5
    tpch__lineitem_l_partkey__part_p_partkey__T96__tiera   53,819.0   56,705.1    +5.4%   3.0%              0.1->13.1       6,968.9->4,516.3       60,801.1->61,265.8
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__filtered__T16__tiera        9.2        9.7    +5.4%   3.7%               0.0->0.1             13.1->15.6               22.3->25.5
    job__movie_companies_company_id__company_name_id__filtered__T96__tiera       10.2       10.7    +5.3%   3.0%               0.0->0.2             26.4->29.2               36.6->40.3
    job__movie_info_movie_id__aka_title_movie_id__T96__tiera      664.8      699.7    +5.2%   3.0%               0.1->1.7           241.0->206.6             905.8->909.9
    job__movie_keyword_movie_id__title_id__filtered__T96__tiera       30.3       31.9    +5.2%   3.5%               0.0->0.2             37.2->95.2              67.5->126.8
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__T16__tiera       32.3       33.9    +5.2%   3.0%               0.0->0.1             23.6->22.1               55.8->56.7
    tpcds__catalog_sales_cs_bill_hdemo_sk__household_demographics_hd_demo_sk__T16__tiera      794.6      835.3    +5.1%   3.0%               0.0->2.2           603.5->647.0         1,398.1->1,482.4
    tpcds__store_sales_ss_hdemo_sk__household_demographics_hd_demo_sk__T16__tiera    1,534.2    1,611.7    +5.0%   3.0%               0.0->4.5       1,209.0->1,281.4         2,741.9->2,901.0
    job__movie_companies_movie_id__complete_cast_movie_id__T96__tiera       44.6       46.9    +5.0%   3.0%               0.0->0.3             29.3->26.9               73.8->74.0
    job__cast_info_movie_id__movie_keyword_movie_id__T96__tiera    5,021.2    5,269.2    +4.9%   3.0%               0.1->2.7           908.1->640.1         5,934.6->5,918.1
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__T16__tiera      131.3      137.7    +4.9%   3.0%               0.0->0.5             94.2->89.8             224.9->225.2
    job__cast_info_person_id__aka_name_person_id__T96__tiera    1,434.8    1,499.6    +4.5%   3.0%               0.1->2.5           420.9->437.7         1,860.8->1,940.9
    job__movie_companies_movie_id__title_id__T96__tiera       88.3       92.1    +4.4%   3.0%               0.0->0.2            79.7->132.8             166.4->225.2
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__filtered__T96__tiera       17.7       18.5    +4.3%   3.0%               0.0->0.2             17.2->18.7               34.9->37.3
    job__title_id__complete_cast_movie_id__T16__tiera       26.3       27.4    +4.1%   3.0%               0.0->0.1             29.3->24.2               55.7->51.8
    job__title_id__aka_title_movie_id__T96__tiera        46.0       47.8    +3.9%   3.0%               0.0->0.2             35.5->30.7               81.4->78.6
    job__cast_info_movie_id__title_id__T96__tiera     4,246.8    4,409.4    +3.8%   3.0%               0.1->2.4           849.3->676.6         5,092.5->5,085.5
    job__cast_info_movie_id__movie_companies_movie_id__T96__tiera   10,059.2   10,441.8    +3.8%   3.0%               0.1->2.6           771.3->690.0       10,832.0->11,134.4
    tpcds__web_sales_ws_promo_sk__promotion_p_promo_sk__T16__tiera      461.6      478.8    +3.7%   3.0%               0.0->1.0           128.6->140.6             590.4->620.3
    tpcds__catalog_sales_cs_sold_date_sk__date_dim_d_date_sk__filtered__T16__tiera      170.0      176.3    +3.7%   3.0%               0.0->1.8           140.8->177.6             310.6->356.7
    job__movie_companies_company_type_id__company_type_id__T16__tiera       30.4       31.5    +3.7%   3.0%               0.0->0.1             13.2->14.4               43.5->46.1
    tpcds__catalog_returns_cr_call_center_sk__call_center_cc_call_center_sk__T16__tiera      116.4      120.6    +3.6%   3.0%               0.0->0.3             26.3->26.4             142.8->147.4
    tpch__lineitem_l_orderkey__orders_o_orderkey__T16__tiera    3,376.7    3,493.3    +3.5%   3.0%              0.0->11.0       4,605.5->2,957.5         7,978.5->6,464.6
    job__movie_info_idx_movie_id__movie_link_linked_movie_id__T16__tiera       11.6       12.0    +3.3%   3.0%               0.0->0.1               7.6->9.5               19.2->21.6
    job__name_id__person_info_person_id__T96__tiera      504.5      521.2    +3.3%   3.0%               0.0->0.5           285.7->475.9             790.2->995.4
    tpcds__store_sales_ss_promo_sk__promotion_p_promo_sk__T16__tiera    1,766.5    1,823.9    +3.3%   3.0%               0.0->3.9           536.8->572.9         2,303.5->2,402.0
    job__cast_info_movie_id__movie_info_movie_id__T96__tiera   88,359.5   91,197.9    +3.2%   3.0%               0.1->4.7       1,540.8->1,793.5       89,959.4->92,941.0
    job__movie_companies_movie_id__aka_title_movie_id__T96__tiera       93.0       96.0    +3.2%   3.0%               0.0->0.2             37.3->33.2             129.3->129.4
    tpcds__web_sales_ws_warehouse_sk__warehouse_w_warehouse_sk__T16__tiera      519.3      535.9    +3.2%   3.0%               0.0->1.2           126.7->131.8             646.3->668.8
  WINS on projection_cost: 43
    tpch__lineitem_l_orderkey__orders_o_orderkey__left_semi__T96__tiera       72.2 ->       41.5   -42.5% (band 3.0%)
    job__movie_link_link_type_id__link_type_id__T96__tiera        0.6 ->        0.4   -42.2% (band 21.8%)
    tpch__orders_o_custkey__customer_c_custkey__left_anti__T96__tiera       32.5 ->       25.5   -21.6% (band 3.3%)
    tpch__lineitem_l_partkey__partsupp_ps_partkey__composite__T96__tiera       49.0 ->       38.6   -21.2% (band 3.0%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__left_semi__T16__tiera       48.3 ->       38.9   -19.5% (band 3.0%)
    tpch__lineitem_l_partkey__partsupp_ps_partkey__composite__T16__tiera       36.8 ->       29.9   -18.8% (band 3.0%)
    tpch__nation_n_regionkey__region_r_regionkey__T96__tiera        0.0 ->        0.0   -18.8% (band 6.8%)
    tpcds__web_sales_ws_ship_mode_sk__ship_mode_sm_ship_mode_sk__T96__tiera      839.0 ->      704.5   -16.0% (band 3.0%)
    tpcds__catalog_sales_cs_ship_mode_sk__ship_mode_sm_ship_mode_sk__T96__tiera    1,653.1 ->    1,391.5   -15.8% (band 3.0%)
    tpch__customer_c_nationkey__nation_n_nationkey__T96__tiera       99.2 ->       87.3   -12.0% (band 4.9%)
    job__movie_info_idx_info_type_id__info_type_id__filtered__T96__tiera        0.4 ->        0.4    -8.9% (band 4.6%)
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__T96__tiera       40.8 ->       37.4    -8.3% (band 6.1%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__left_semi__T96__tiera      761.3 ->      698.9    -8.2% (band 3.0%)
    job__movie_keyword_keyword_id__keyword_id__filtered__T96__tiera        2.7 ->        2.5    -7.9% (band 3.0%)
    job__complete_cast_movie_id__movie_link_movie_id__T96__tiera        0.9 ->        0.8    -7.6% (band 4.3%)
    tpch__orders_o_custkey__customer_c_custkey__left_anti__T16__tiera       20.0 ->       18.5    -7.6% (band 3.0%)
    job__movie_keyword_movie_id__movie_link_movie_id__T96__tiera       16.2 ->       15.0    -7.4% (band 3.2%)
    tpcds__catalog_returns_cr_call_center_sk__call_center_cc_call_center_sk__T96__tiera      178.6 ->      165.7    -7.2% (band 3.0%)
    tpcds__store_sales_ss_store_sk__store_s_store_sk__T96__tiera    2,775.3 ->    2,581.4    -7.0% (band 3.0%)
    tpcds__catalog_sales_cs_catalog_page_sk__catalog_page_cp_catalog_page_sk__T96__tiera      959.6 ->      893.3    -6.9% (band 3.0%)
    tpcds__store_sales_ss_item_sk__item_i_item_sk__T96__tiera    3,352.3 ->    3,129.7    -6.6% (band 3.0%)
