unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
k256:probe.inner_all.S2.T1	WIN	74120.0	40198.5	-33921.5	-45.766	3.000		LOSS	18535.0	19145.0	610.0	3.291	3.000		0.0	82.5	74120.0	40113.5	92961.5	59504.0	450365.0	455531.0
k256:probe.inner_all.S2.T48	WIN	3859342.5	2019571.0	-1839771.5	-47.671	3.000		LOSS	947939.5	995990.5	48051.0	5.069	3.000		20.5	3845.5	3859316.0	2015741.5	4805088.0	3016996.0	497041.5	460726.0
k256:probe.inner_all.S2.T96	WIN	14734859.0	6094276.5	-8640582.5	-58.640	3.000		LOSS	2150652.5	2750541.0	599888.5	27.893	3.000		350.0	9063.5	14734520.0	6085213.0	16884532.0	8839681.5	614750.5	547715.5
k256:probe.inner_all.S3.T96	WIN	22740710.0	8380683.0	-14360027.0	-63.147	3.000		LOSS	2142194.0	3053149.0	910955.0	42.524	3.000		399.0	10296.0	22740323.5	8370429.0	24885930.0	11436214.0	718179.0	603596.5
k256:probe.inner_all.S4.T1	WIN	20800366.0	12332393.5	-8467972.5	-40.711	3.000		TIE	1791715.5	1801420.0	9704.5	0.542	3.000		3.0	6880.5	20800356.0	12325304.5	22576221.5	14128181.5	59068823.5	55681603.0
k256:probe.inner_all.S4.T48	WIN	14850714.5	10416881.0	-4433833.5	-29.856	7.785		LOSS	1884061.0	1988543.0	104482.0	5.546	3.000		150.5	7477.0	14850564.0	10409422.0	16733798.0	12396921.5	1294243.0	1224853.5
k256:probe.inner_all.S4.T96	WIN	22870127.5	10309238.5	-12560889.0	-54.923	3.000		LOSS	2126579.5	2912047.5	785468.0	36.936	3.000		439.5	9202.0	22869768.0	10299996.0	24992021.5	13221286.0	816057.5	710791.0
k256:probe.inner_all.S5.T96	WIN	114627246.5	73069366.0	-41557880.5	-36.255	3.000		LOSS	8309984.5	10519512.5	2209528.0	26.589	3.000		2380.5	37824.0	114624936.5	73031641.0	122927406.5	83607163.0	3462563.5	3086755.5
key32:probe.inner_all.S2.T96	WIN	4300162.5	2969376.0	-1330786.5	-30.947	3.422		LOSS	2190391.5	2724123.5	533732.0	24.367	3.000		522.0	6765.0	4299588.0	2962602.0	6509551.5	5692038.0	259840.5	255520.0
key32:probe.inner_all.S3.T96	WIN	8346920.0	5279991.5	-3066928.5	-36.743	3.000		LOSS	2432896.5	3176767.0	743870.5	30.576	3.000		579.0	6896.5	8346309.0	5273170.0	10780856.0	8452922.5	329716.5	332198.0
key32:probe.inner_all.S5.T96	WIN	67733821.0	53145649.5	-14588171.5	-21.537	8.610		LOSS	18825302.5	25504906.0	6679603.5	35.482	3.000		1912.0	57026.5	67731938.5	53088959.5	86543122.5	78705023.5	2978784.5	3211075.0
key64:build.inner_all.S2.T96	NO-VERDICT						harness voided: below-duration-floor (arm A median 23.5 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 23.5 ms < 200 ms)	0.0	6.0	1103.5	850.5	1934.0	1869.5	23424.5	24195.5
key64:build.inner_all.S3.T1	WIN	115228.0	71993.0	-43235.0	-37.521	3.000		TIE	55437.5	56623.0	1185.5	2.138	3.000		0.0	113.5	115228.0	71877.0	170852.5	128513.5	1095044.5	1879710.0
key64:build.inner_all.S3.T48	NO-VERDICT						harness voided: below-duration-floor (arm A median 58.3 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 58.3 ms < 200 ms)	7.0	178.0	168745.0	179735.5	229789.5	248348.5	58183.0	90338.5
key64:build.inner_all.S3.T96	NO-VERDICT						harness voided: below-duration-floor (arm A median 65.5 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 65.5 ms < 200 ms)	5.5	148.5	298000.0	326791.5	374011.0	419096.5	65442.0	84749.5
key64:build.inner_all.S3.T96.dup16	LOSS	232825.5	297025.0	64199.5	27.574	3.000		LOSS	4310185.0	4703879.0	393694.0	9.134	3.000		11.0	148.0	232816.5	296880.0	4540996.0	5003624.0	270195.0	288337.0
key64:build.inner_all.S3.T96.statson	NO-VERDICT						harness voided: below-duration-floor (arm A median 65.0 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 65.0 ms < 200 ms)	8.0	137.0	295745.5	328822.5	371787.0	422160.0	65003.0	84564.0
key64:build.inner_all.S5.T96	LOSS	6744248.0	7411992.0	667744.0	9.901	3.000		LOSS	1330874.0	1469507.0	138633.0	10.417	3.446		238.0	3588.5	6744010.0	7408419.5	8062694.5	8869956.0	905400.5	1113656.5
key64:build.left_all.S3.T96.dup16	LOSS	230088.5	300805.5	70717.0	30.735	3.000		LOSS	4259555.0	4693084.5	433529.5	10.178	3.000		7.5	145.0	230085.5	300649.0	4489891.0	4990816.0	269445.5	287306.0
key64:probe.any.S2.T96	WIN	6813801.0	4870203.5	-1943597.5	-28.524	4.235		LOSS	653613.0	874797.0	221184.0	33.840	3.000		275.5	6474.0	6813544.0	4863719.5	7467932.0	5741917.0	299834.0	289036.5
key64:probe.any.S4.T96	WIN	25545864.5	14678930.5	-10866934.0	-42.539	3.000		LOSS	1316823.0	1750324.5	433501.5	32.920	3.000		728.5	14639.5	25545031.5	14664513.5	26861720.5	16424381.5	816760.0	829628.5
key64:probe.asof.S2.T96	TIE	16405199.5	16686535.0	281335.5	1.715	3.000		LOSS	1997272.0	2176107.0	178835.0	8.954	3.000		214.5	6836.0	16404957.5	16679625.0	18403186.0	18868295.5	416784.5	414675.5
