probe_ab_report: 1 file(s), 8052 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier b: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 365   win=164 tie=50 loss=151   no-verdict=11
  aggregate 493,179.2 ms -> 449,846.8 ms (-8.8%)
  median per-cell delta -0.4%
  LOSSES on probe_cost: 151
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    tpcds__web_returns_wr_refunded_addr_sk__customer_address_ca_address_sk__T16__tierb      317.3      383.1   +20.7%   3.0%               0.0->0.3             58.2->47.5             375.9->430.9
    tpcds__catalog_returns_cr_returning_addr_sk__customer_address_ca_address_sk__T96__tierb      745.1      898.7   +20.6%   6.6%               0.0->0.9           161.7->139.1           908.8->1,036.6
    job__complete_cast_subject_id__comp_cast_type_id__T16__tierb        1.8        2.2   +20.5%  14.6%               0.0->0.0               0.8->1.2                 2.6->3.4
    tpcds__web_sales_ws_item_sk__web_returns_wr_item_sk__composite__T96__tierb       97.3      117.1   +20.3%   3.0%               0.0->1.7       1,989.0->1,793.0         2,084.9->1,911.3
    tpcds__catalog_sales_cs_sold_time_sk__time_dim_t_time_sk__T16__tierb    1,313.5    1,579.4   +20.2%   3.0%               0.0->4.3       1,565.5->1,175.4         2,879.9->2,757.0
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__T16__tierb      168.5      202.5   +20.2%   3.0%               0.0->0.4             62.4->59.1             230.7->262.4
    tpcds__catalog_returns_cr_returning_addr_sk__customer_address_ca_address_sk__T16__tierb      649.4      778.7   +19.9%   3.0%               0.0->0.7            119.7->95.4             770.0->875.5
    tpcds__customer_c_current_addr_sk__customer_address_ca_address_sk__T16__tierb       85.0      101.3   +19.2%   3.0%               0.0->0.2             13.1->12.4              98.0->113.8
    job__movie_info_movie_id__movie_info_idx_movie_id__T16__tierb      608.1      722.6   +18.8%   3.0%               0.0->1.5           216.7->169.8             824.8->894.9
    tpcds__store_returns_sr_item_sk__item_i_item_sk__T16__tierb      332.7      394.1   +18.4%   3.0%               0.0->0.8           121.2->110.1             453.9->505.0
    job__movie_info_movie_id__title_id__T16__tierb      339.1      401.5   +18.4%   3.0%               0.0->1.4           188.7->153.7             528.8->557.5
    tpcds__customer_address_ca_state__store_s_state__T16__tierb       47.0       55.5   +18.2%   3.4%               0.0->0.0               2.4->2.9               49.4->58.5
    job__cast_info_person_role_id__char_name_id__T16__tierb      651.2      769.1   +18.1%   3.0%               0.0->1.7           229.1->178.2             880.3->949.0
    tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T16__tierb      664.4      784.6   +18.1%   3.0%               0.0->2.1           785.0->589.5         1,448.7->1,378.2
    tpcds__web_returns_wr_item_sk__item_i_item_sk__filtered__T16__tierb       14.0       16.5   +18.0%   3.0%               0.0->0.2             18.3->21.1               32.3->37.8
    tpch__lineitem_l_partkey__part_p_partkey__T96__tierb  155,462.8  183,376.0   +18.0%   3.0%              0.3->35.3     14,878.3->12,229.6     170,255.9->195,692.1
    tpch__partsupp_ps_partkey__part_p_partkey__T96__tierb    2,061.9    2,429.9   +17.9%   3.0%               0.0->3.9       2,732.3->2,658.7         4,797.5->5,096.7
    tpcds__inventory_inv_item_sk__item_i_item_sk__filtered__T16__tierb      268.3      316.0   +17.8%   3.0%               0.0->2.6           469.6->537.3             738.0->857.6
    job__movie_companies_movie_id__title_id__filtered__T16__tierb       22.1       26.0   +17.5%   3.0%               0.0->0.1             28.6->26.4               50.8->53.2
    job__movie_info_movie_id__movie_companies_movie_id__T16__tierb    1,828.1    2,147.9   +17.5%   3.0%               0.0->1.8           214.7->181.2         2,042.4->2,329.9
    job__cast_info_person_id__name_id__T16__tierb       981.5    1,144.5   +16.6%   3.0%               0.0->1.8           300.9->251.2         1,282.9->1,397.8
    tpcds__web_returns_wr_refunded_addr_sk__customer_address_ca_address_sk__T96__tierb      402.4      467.8   +16.2%   5.0%               0.0->0.5             91.6->78.1             493.2->546.4
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__filtered__T16__tierb        3.1        3.6   +15.9%   6.1%               0.0->0.1               4.9->6.0                 8.0->9.7
    tpcds__inventory_inv_item_sk__item_i_item_sk__T16__tierb    1,496.3    1,731.6   +15.7%   3.0%               0.0->3.3           624.8->521.8         2,122.4->2,257.0
    job__cast_info_movie_id__movie_info_movie_id__T16__tierb   56,830.2   65,732.8   +15.7%   3.0%               0.0->3.7           755.6->644.5       57,580.8->66,381.8
    tpcds__web_sales_ws_item_sk__item_i_item_sk__T16__tierb      828.4      957.5   +15.6%   3.0%               0.0->2.0           290.5->259.9         1,118.2->1,220.4
    job__movie_info_movie_id__title_id__filtered__T16__tierb      167.7      193.4   +15.3%   3.0%               0.0->1.3           175.4->152.9             343.2->347.6
    job__cast_info_movie_id__movie_info_idx_movie_id__T16__tierb    2,862.2    3,298.0   +15.2%   3.0%               0.0->2.0           581.8->444.2         3,445.0->3,744.3
    job__movie_companies_company_id__company_name_id__filtered__T16__tierb        8.2        9.5   +15.2%   3.0%               0.0->0.1             24.7->27.5               33.0->37.2
    job__movie_keyword_movie_id__movie_info_idx_movie_id__T16__tierb      175.3      201.2   +14.8%   3.0%               0.0->0.1             34.9->37.1             209.6->238.8
    tpch__partsupp_ps_suppkey__supplier_s_suppkey__T96__tierb    3,362.4    3,858.8   +14.8%   3.0%               0.0->3.9       2,165.3->1,404.7         5,528.8->5,270.4
    tpcds__web_returns_wr_returning_addr_sk__customer_address_ca_address_sk__T96__tierb      388.4      445.8   +14.8%   6.4%               0.0->0.5             90.8->77.0             479.3->516.0
    stackoverflow__badges_UserId__users_Id__T96__tierb    1,935.6    2,217.6   +14.6%   3.0%               0.0->4.3       2,226.4->1,974.5         4,163.2->4,181.7
    tpcds__customer_c_customer_sk__catalog_returns_cr_returning_customer_sk__T16__tierb      814.6      929.2   +14.1%   3.0%               0.0->0.2             16.5->37.4             831.1->972.2
    job__title_id__movie_info_idx_movie_id__T16__tierb       63.8       72.7   +14.0%   3.0%               0.0->0.2             37.6->32.0             101.5->104.8
    tpcds__catalog_sales_cs_sold_time_sk__time_dim_t_time_sk__T96__tierb    1,720.8    1,958.9   +13.8%   3.0%               0.1->5.4       1,799.9->1,320.7         3,519.4->3,287.0
    tpcds__catalog_sales_cs_bill_cdemo_sk__customer_demographics_cd_demo_sk__T96__tierb    8,411.8    9,564.4   +13.7%   3.0%               0.2->6.4       2,396.9->1,852.9       10,805.7->11,411.0
    stackoverflow__postlinks_RelatedPostId__posts_Id__T96__tierb    1,965.4    2,232.2   +13.6%   3.0%               0.0->0.5       1,974.0->3,640.5         3,973.1->5,885.7
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__T16__tierb    1,653.7    1,875.4   +13.4%   3.0%               0.0->3.7           571.6->507.9         2,225.9->2,386.0
    tpcds__catalog_sales_cs_ship_addr_sk__customer_address_ca_address_sk__T96__tierb    7,267.7    8,233.1   +13.3%   3.0%               0.3->6.7       1,673.4->1,493.7         8,967.7->9,716.5
    tpcds__store_sales_ss_cdemo_sk__customer_demographics_cd_demo_sk__T96__tierb   16,421.7   18,601.1   +13.3%   3.0%              0.5->12.7       4,748.0->3,670.2       21,171.2->22,269.5
    tpcds__store_returns_sr_cdemo_sk__customer_demographics_cd_demo_sk__T96__tierb    1,657.4    1,874.7   +13.1%   3.0%               0.0->1.2           430.9->347.3         2,082.8->2,225.7
    job__person_info_info_type_id__info_type_id__filtered__T16__tierb        2.3        2.6   +12.8%   3.0%               0.0->0.1               6.1->8.1                8.4->10.7
    tpcds__web_sales_ws_bill_addr_sk__customer_address_ca_address_sk__T96__tierb    3,731.0    4,209.1   +12.8%   3.0%               0.2->3.4           834.7->713.5         4,570.3->4,926.0
    tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T96__tierb      860.7      970.1   +12.7%   3.0%               0.0->2.6           896.8->661.2         1,766.0->1,638.0
    tpcds__store_sales_ss_sold_time_sk__time_dim_t_time_sk__T16__tierb    2,378.8    2,678.4   +12.6%   3.0%               0.0->8.1       2,846.6->2,386.6         5,225.4->5,062.0
    job__movie_info_movie_id__title_id__filtered__T96__tierb      320.6      361.0   +12.6%   3.0%               0.1->1.5           283.7->268.8             607.4->629.8
    tpcds__store_sales_ss_item_sk__item_i_item_sk__T16__tierb    3,310.0    3,724.5   +12.5%   3.0%               0.0->7.7       1,134.2->1,003.9         4,446.5->4,736.7
    job__movie_keyword_movie_id__title_id__filtered__T16__tierb       24.8       27.9   +12.5%   3.0%               0.0->0.1             25.3->29.5               50.1->57.1
    tpch__partsupp_ps_partkey__part_p_partkey__filtered__T16__tierb       49.5       55.6   +12.3%   3.0%               0.0->2.5           403.5->414.7             452.9->472.9
    tpcds__catalog_sales_cs_bill_addr_sk__customer_address_ca_address_sk__T96__tierb    7,289.9    8,189.3   +12.3%   3.0%               0.3->6.7       1,653.2->1,465.9         8,939.8->9,681.5
    tpcds__store_sales_ss_addr_sk__customer_address_ca_address_sk__T96__tierb   14,209.0   15,948.3   +12.2%   3.0%              0.5->13.4       3,255.4->2,962.0       17,500.2->18,907.6
    job__movie_info_movie_id__aka_title_movie_id__T16__tierb      443.7      497.4   +12.1%   3.0%               0.0->1.5           196.9->159.6             640.4->658.6
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__filtered__T16__tierb       27.9       31.2   +12.1%   3.0%               0.0->0.3             34.5->38.5               62.4->70.0
    job__movie_keyword_movie_id__movie_companies_movie_id__T16__tierb      616.6      689.6   +11.8%   3.0%               0.0->0.1             41.7->45.3             658.3->734.6
    job__cast_info_movie_id__movie_keyword_movie_id__T16__tierb    3,195.7    3,573.6   +11.8%   3.0%               0.0->2.4           631.1->478.8         3,825.7->4,057.6
    tpch__orders_o_custkey__customer_c_custkey__T96__tierb   20,976.1   23,400.6   +11.6%   3.0%              0.7->11.1       5,057.2->4,361.3       25,970.5->27,712.4
    tpcds__web_sales_ws_ship_addr_sk__customer_address_ca_address_sk__T96__tierb    3,741.8    4,173.7   +11.5%   3.0%               0.2->3.3           832.5->697.7         4,607.9->4,888.9
    job__movie_keyword_keyword_id__keyword_id__T16__tierb       77.5       86.3   +11.4%   3.0%               0.0->0.1             37.7->27.3             115.0->113.7
    tpcds__customer_c_first_sales_date_sk__date_dim_d_date_sk__T16__tierb       18.9       21.0   +11.4%   3.2%               0.0->0.1             11.3->10.6               30.6->31.8
    tpcds__web_sales_ws_web_site_sk__web_site_web_site_sk__T16__tierb    1,165.2    1,295.6   +11.2%   3.0%               0.0->2.4           253.9->260.7         1,419.4->1,558.5
    tpch__orders_o_custkey__customer_c_custkey__filtered__T96__tierb    4,377.8    4,867.2   +11.2%   3.0%              1.1->10.9       4,339.1->3,615.3         8,719.6->8,504.1
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__T16__tierb       19.0       21.1   +11.2%   7.2%               0.0->0.1             11.2->10.5               30.3->31.7
    tpch__orders_o_custkey__customer_c_custkey__left__T96__tierb   21,669.5   24,078.6   +11.1%   3.0%              1.2->11.8       5,728.9->4,602.8       27,411.1->28,669.4
    tpch__lineitem_l_partkey__part_p_partkey__filtered__T96__tierb    1,440.7    1,600.6   +11.1%   3.0%              0.5->32.6       6,311.2->5,541.3         7,750.9->7,179.4
    tpch__lineitem_l_partkey__part_p_partkey__filtered__T16__tierb      716.5      795.7   +11.1%   3.0%              0.1->19.5       6,011.4->4,832.4         6,728.0->5,642.6
    tpcds__customer_c_current_addr_sk__customer_address_ca_address_sk__T96__tierb       89.7       99.5   +11.0%   3.0%               0.0->0.2             14.8->14.8             104.6->115.0
    tpcds__store_returns_sr_item_sk__item_i_item_sk__filtered__T16__tierb       52.5       58.2   +10.9%   3.0%               0.0->0.6             63.1->71.6             115.7->130.8
    stackoverflow__comments_UserId__users_Id__T96__tierb   19,105.2   21,186.6   +10.9%   3.0%               0.0->5.8       3,768.9->3,221.7       22,885.6->24,424.2
    job__movie_info_idx_movie_id__complete_cast_movie_id__T16__tierb       16.7       18.5   +10.8%   3.0%               0.0->0.1             10.6->12.1               27.1->30.7
    tpcds__catalog_returns_cr_returned_date_sk__date_dim_d_date_sk__filtered__T16__tierb       36.0       39.9   +10.7%   3.2%               0.0->0.4             37.2->46.1               73.3->86.6
    job__movie_info_movie_id__title_id__T96__tierb      587.1      649.7   +10.7%   3.0%               0.1->1.5           383.8->317.7             968.1->962.9
    tpch__lineitem_l_suppkey__supplier_s_suppkey__T96__tierb   80,980.8   89,573.7   +10.6%   3.0%              0.6->36.7      13,208.0->9,763.3       94,162.1->99,378.9
    tpcds__customer_address_ca_county__store_s_county__filtered__T16__tierb        3.9        4.3   +10.3%   3.0%               0.0->0.0               2.7->3.2                 6.7->7.6
    tpcds__store_sales_ss_item_sk__item_i_item_sk__filtered__T16__tierb      473.3      520.7   +10.0%   3.0%               0.0->5.9           530.1->630.5         1,004.6->1,157.6
    job__cast_info_person_id__name_id__T96__tierb     1,581.0    1,738.7   +10.0%   3.0%               0.1->2.3           565.1->608.5         2,146.4->2,344.0
    job__name_id__aka_name_person_id__T16__tierb         90.8       99.8    +9.9%   3.0%               0.0->0.4             58.7->51.7             149.5->151.6
    job__movie_info_movie_id__movie_info_idx_movie_id__T96__tierb      949.0    1,042.7    +9.9%   3.0%               0.1->1.8           323.3->243.7         1,271.5->1,287.3
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__filtered__T16__tierb      244.9      268.9    +9.8%   3.0%               0.0->3.0           274.3->323.4             518.9->594.1
    stackoverflow__posts_OwnerUserId__users_Id__T96__tierb   16,846.5   18,497.0    +9.8%   3.0%               0.0->5.3       3,362.6->2,941.4       20,204.9->21,443.9
    job__movie_companies_movie_id__title_id__T96__tierb       86.0       94.3    +9.7%   3.0%               0.0->0.2            78.8->141.3             164.2->237.4
    job__cast_info_movie_id__title_id__filtered__T96__tierb    1,361.9    1,493.8    +9.7%   3.0%               0.0->2.3           679.1->574.5         2,031.3->2,070.5
    job__movie_companies_movie_id__movie_info_idx_movie_id__T96__tierb      140.1      153.6    +9.6%   3.0%               0.0->0.3             47.5->40.6             187.8->194.2
    job__movie_companies_movie_id__aka_title_movie_id__T16__tierb       73.4       80.5    +9.6%   3.0%               0.0->0.2             33.0->27.5             106.3->108.1
    stackoverflow__votes_PostId__posts_Id__T96__tierb    7,322.2    8,005.6    +9.3%   3.0%              0.1->13.2      9,988.2->10,767.5       17,277.6->18,881.2
    job__title_id__movie_info_idx_movie_id__T96__tierb       78.5       85.9    +9.3%   3.0%               0.0->0.3             42.9->38.2             121.8->124.0
    job__cast_info_person_id__aka_name_person_id__T16__tierb      848.3      923.6    +8.9%   3.0%               0.0->2.0           255.1->245.2         1,103.3->1,170.6
    tpcds__web_returns_wr_returning_cdemo_sk__customer_demographics_cd_demo_sk__T96__tierb      438.3      477.1    +8.9%   3.0%               0.0->0.4           126.6->119.1             560.5->595.5
    job__movie_info_idx_info_type_id__info_type_id__T16__tierb       15.7       17.1    +8.7%   3.0%               0.0->0.1               7.4->6.7               23.1->24.0
    job__cast_info_movie_id__movie_info_idx_movie_id__T96__tierb    3,314.8    3,601.7    +8.7%   3.0%               0.1->2.5           687.8->549.7         3,997.2->4,150.9
    tpcds__web_sales_ws_item_sk__item_i_item_sk__filtered__T16__tierb      126.1      136.8    +8.5%   3.0%               0.0->1.5           143.5->166.4             269.6->304.3
    job__movie_keyword_movie_id__complete_cast_movie_id__T16__tierb       43.7       47.4    +8.4%   3.0%               0.0->0.1             24.2->30.1               67.9->78.0
    stackoverflow__comments_PostId__posts_Id__T16__tierb    3,050.2    3,301.7    +8.2%   3.0%               0.0->4.1       4,260.1->3,450.9         7,309.5->6,760.5
    tpcds__web_returns_wr_refunded_cdemo_sk__customer_demographics_cd_demo_sk__T96__tierb      440.9      476.8    +8.1%   3.0%               0.0->0.4           119.9->113.0             558.1->593.5
    tpch__lineitem_l_orderkey__orders_o_orderkey__T96__tierb   10,358.2   11,191.5    +8.0%   3.0%              0.7->41.5     21,371.5->17,971.8       31,699.6->29,169.9
    job__movie_companies_company_type_id__company_type_id__filtered__T16__tierb       17.1       18.5    +8.0%   6.7%               0.0->0.1              8.9->11.0               26.1->29.6
    job__person_info_person_id__aka_name_person_id__T96__tierb      154.3      166.5    +7.9%   3.0%               0.0->0.8             59.6->47.3             212.6->216.4
    job__movie_info_movie_id__complete_cast_movie_id__T16__tierb      236.6      254.8    +7.7%   3.0%               0.0->1.4           159.6->141.3             396.2->397.4
    tpcds__customer_c_current_hdemo_sk__household_demographics_hd_demo_sk__T16__tierb       21.8       23.5    +7.7%   3.0%               0.0->0.1             15.0->16.2               37.0->39.8
    job__movie_keyword_movie_id__title_id__filtered__T96__tierb       30.1       32.4    +7.7%   4.4%               0.0->0.2             38.5->99.9              68.9->132.0
    job__movie_companies_company_id__company_name_id__T96__tierb      107.9      116.1    +7.6%   3.0%               0.0->0.3             34.1->24.9             141.1->141.3
    job__cast_info_person_role_id__char_name_id__T96__tierb      973.3    1,047.2    +7.6%   3.0%               0.1->2.1           363.2->274.0         1,338.0->1,321.9
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__filtered__T16__tierb       19.9       21.4    +7.5%   3.2%               0.0->0.2             26.5->32.0               46.4->53.6
    tpcds__customer_c_current_cdemo_sk__customer_demographics_cd_demo_sk__T96__tierb      106.1      114.0    +7.4%   3.0%               0.0->0.2             20.9->29.2             127.3->143.4
    tpcds__web_sales_ws_bill_customer_sk__customer_c_customer_sk__T96__tierb    5,980.2    6,416.5    +7.3%   3.0%               0.1->3.2         1,059.8->849.3         7,042.9->7,267.7
    job__name_id__aka_name_person_id__T96__tierb        141.9      152.2    +7.3%   3.0%               0.0->0.5             87.4->75.3             229.2->228.8
    job__title_id__aka_title_movie_id__T16__tierb        40.8       43.8    +7.2%   3.0%               0.0->0.2             33.8->27.7               74.6->71.7
    tpcds__store_sales_ss_sold_time_sk__time_dim_t_time_sk__T96__tierb    3,046.6    3,261.8    +7.1%   3.0%              0.1->10.3       3,326.4->2,650.1         6,365.2->5,932.4
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__T96__tierb   22,874.4   24,489.1    +7.1%   3.0%              0.4->12.9       4,201.0->3,410.6       27,025.3->27,890.3
    tpcds__catalog_sales_cs_ship_customer_sk__customer_c_customer_sk__T96__tierb   11,882.2   12,712.3    +7.0%   3.0%               0.2->6.5       2,137.8->1,726.1       14,049.5->14,448.0
    job__movie_companies_movie_id__complete_cast_movie_id__T16__tierb       38.5       41.2    +6.9%   3.0%               0.0->0.2             27.0->24.3               65.6->65.6
    tpcds__catalog_sales_cs_bill_customer_sk__customer_c_customer_sk__T96__tierb   11,895.3   12,688.1    +6.7%   3.0%               0.2->6.3       2,130.4->1,734.8       14,015.9->14,435.0
    tpch__partsupp_ps_partkey__part_p_partkey__filtered__T96__tierb       93.5       99.6    +6.4%   3.0%               0.0->3.3           495.0->531.0             588.0->633.3
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__T16__tierb       65.1       69.0    +6.0%   3.0%               0.0->0.2             47.0->44.6             112.1->113.3
    tpcds__web_returns_wr_item_sk__item_i_item_sk__filtered__T96__tierb       18.9       19.9    +5.7%   3.0%               0.0->0.2             20.2->22.0               39.0->42.3
    tpcds__web_sales_ws_ship_hdemo_sk__household_demographics_hd_demo_sk__T16__tierb      794.5      838.3    +5.5%   3.0%               0.0->2.2           604.9->645.7         1,400.4->1,490.6
    tpcds__store_sales_ss_hdemo_sk__household_demographics_hd_demo_sk__T16__tierb    3,072.8    3,239.4    +5.4%   3.0%               0.0->8.8       2,401.6->2,575.4         5,471.6->5,825.8
    job__cast_info_movie_id__complete_cast_movie_id__T96__tierb      771.8      813.0    +5.3%   3.0%               0.0->2.4           511.3->440.7         1,284.8->1,252.1
    job__movie_info_movie_id__movie_companies_movie_id__T96__tierb    3,369.0    3,542.6    +5.2%   3.0%               0.1->2.0           442.7->390.1         3,807.8->3,942.2
    job__cast_info_movie_id__title_id__T96__tierb     4,223.2    4,437.2    +5.1%   3.0%               0.1->2.4           856.8->684.6         5,076.3->5,108.2
    tpcds__customer_address_ca_state__store_s_state__T96__tierb       53.6       56.3    +5.0%   4.3%               0.0->0.0               2.6->3.0               56.2->59.3
    job__name_id__person_info_person_id__T96__tierb      500.8      525.6    +4.9%   3.0%               0.0->0.5           285.7->478.8             787.9->997.9
    job__movie_companies_company_id__company_name_id__filtered__T96__tierb       10.1       10.5    +4.8%   3.4%               0.0->0.2             26.2->29.1               36.2->39.8
    tpcds__catalog_sales_cs_bill_hdemo_sk__household_demographics_hd_demo_sk__T16__tierb    1,598.8    1,674.7    +4.7%   3.0%               0.0->4.4       1,213.6->1,295.7         2,810.7->2,977.6
    job__cast_info_movie_id__movie_keyword_movie_id__T96__tierb    5,035.2    5,268.5    +4.6%   3.0%               0.1->2.7           913.7->642.4         5,945.2->5,907.5
    stackoverflow__badges_UserId__users_Id__T16__tierb    1,469.0    1,534.4    +4.5%   3.0%               0.0->3.0       1,483.0->1,088.9         2,952.1->2,623.8
    job__title_id__complete_cast_movie_id__T16__tierb       26.2       27.4    +4.4%   3.0%               0.0->0.1             29.3->24.3               55.5->51.9
    tpcds__web_returns_wr_reason_sk__reason_r_reason_sk__T16__tierb       95.8      100.0    +4.4%   3.0%               0.0->0.3             26.7->26.7             122.4->126.8
    tpcds__customer_address_ca_zip__store_s_zip__filtered__T16__tierb        4.9        5.1    +4.4%   3.0%               0.0->0.0              14.3->8.7               19.2->13.9
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__T96__tierb      366.2      382.0    +4.3%   3.0%               0.0->1.2           250.5->232.4             611.4->616.5
    job__cast_info_person_id__aka_name_person_id__T96__tierb    1,435.9    1,497.3    +4.3%   3.0%               0.1->2.5           423.4->439.5         1,859.4->1,937.5
    tpch__lineitem_l_orderkey__orders_o_orderkey__T16__tierb    8,396.8    8,746.2    +4.2%   3.0%              0.1->25.1      15,616.0->9,394.0       24,010.1->18,165.3
    tpch__partsupp_ps_partkey__part_p_partkey__T16__tierb    1,497.7    1,558.8    +4.1%   3.0%               0.0->3.3         1,540.2->873.8         3,038.6->2,431.9
    job__movie_info_movie_id__aka_title_movie_id__T96__tierb      671.0      697.9    +4.0%   3.0%               0.1->1.7           247.8->206.5             915.9->905.5
    job__cast_info_movie_id__movie_companies_movie_id__T96__tierb   10,050.4   10,445.5    +3.9%   3.0%               0.1->2.6           774.5->707.2       10,823.1->11,143.5
    tpcds__store_returns_sr_reason_sk__reason_r_reason_sk__T16__tierb      400.4      415.7    +3.8%   3.0%               0.0->0.8           104.3->106.7             504.6->521.6
    tpch__supplier_s_nationkey__nation_n_nationkey__T16__tierb       12.4       12.9    +3.7%   3.0%               0.0->0.2               6.6->6.4               19.0->19.5
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__filtered__T16__tierb       78.8       81.7    +3.7%   3.0%               0.0->0.7           105.2->125.5             183.9->208.2
    tpcds__web_sales_ws_web_page_sk__web_page_wp_web_page_sk__T16__tierb      450.5      467.0    +3.7%   3.0%               0.0->1.9           276.9->296.4             727.1->764.8
    job__title_id__movie_link_movie_id__T16__tierb       13.3       13.8    +3.5%   3.0%               0.0->0.1             10.8->13.9               24.1->27.7
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__T96__tierb      889.8      919.9    +3.4%   3.0%               0.0->2.6           633.7->482.7         1,540.5->1,410.7
    tpcds__web_sales_ws_promo_sk__promotion_p_promo_sk__T16__tierb      923.4      954.3    +3.3%   3.0%               0.0->1.8           265.2->282.1         1,189.3->1,237.3
    job__movie_info_idx_movie_id__movie_link_linked_movie_id__T16__tierb       11.6       12.0    +3.3%   3.0%               0.0->0.1               7.4->9.4               19.1->21.4
    job__movie_keyword_movie_id__complete_cast_movie_id__T96__tierb       51.3       53.0    +3.3%   3.0%               0.0->0.2             30.4->36.3               81.7->89.5
    tpcds__customer_c_current_hdemo_sk__household_demographics_hd_demo_sk__T96__tierb       22.5       23.2    +3.1%   3.0%               0.0->0.2             15.8->16.6               38.4->40.1
  WINS on projection_cost: 49
    tpch__lineitem_l_orderkey__orders_o_orderkey__left_semi__T96__tierb      191.5 ->      107.2   -44.0% (band 4.4%)
    job__movie_link_link_type_id__link_type_id__T96__tierb        0.6 ->        0.4   -42.5% (band 35.4%)
    tpch__orders_o_custkey__customer_c_custkey__left_anti__T96__tierb       92.1 ->       68.5   -25.6% (band 3.0%)
    tpch__nation_n_regionkey__region_r_regionkey__T96__tierb        0.0 ->        0.0   -25.0% (band 17.8%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__left_semi__T16__tierb      122.9 ->       96.6   -21.4% (band 3.0%)
    tpch__lineitem_l_partkey__partsupp_ps_partkey__composite__T96__tierb      125.1 ->       98.4   -21.3% (band 3.0%)
    tpch__lineitem_l_partkey__partsupp_ps_partkey__composite__T16__tierb       93.8 ->       74.7   -20.3% (band 3.0%)
    tpcds__web_sales_ws_ship_mode_sk__ship_mode_sm_ship_mode_sk__T96__tierb    1,678.7 ->    1,420.4   -15.4% (band 3.0%)
    tpcds__catalog_sales_cs_ship_mode_sk__ship_mode_sm_ship_mode_sk__T96__tierb    3,266.6 ->    2,788.2   -14.6% (band 3.0%)
    tpch__customer_c_nationkey__nation_n_nationkey__T96__tierb      250.1 ->      217.0   -13.2% (band 3.4%)
    tpch__orders_o_custkey__customer_c_custkey__left_anti__T16__tierb       51.5 ->       45.6   -11.4% (band 3.0%)
    tpcds__catalog_sales_cs_catalog_page_sk__catalog_page_cp_catalog_page_sk__T96__tierb    1,900.7 ->    1,746.9    -8.1% (band 3.0%)
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__T96__tierb       27.8 ->       25.7    -7.4% (band 7.2%)
    tpcds__catalog_sales_cs_call_center_sk__call_center_cc_call_center_sk__T96__tierb    3,795.1 ->    3,515.0    -7.4% (band 3.0%)
    job__movie_keyword_movie_id__movie_link_movie_id__T96__tierb       16.1 ->       15.1    -6.3% (band 3.6%)
    tpcds__catalog_returns_cr_returned_date_sk__date_dim_d_date_sk__filtered__T96__tierb       54.1 ->       50.7    -6.2% (band 3.3%)
    tpcds__store_sales_ss_store_sk__store_s_store_sk__T96__tierb    5,536.7 ->    5,194.8    -6.2% (band 3.0%)
    tpcds__store_sales_ss_item_sk__item_i_item_sk__T96__tierb    6,599.5 ->    6,235.2    -5.5% (band 3.0%)
    tpcds__store_sales_ss_item_sk__item_i_item_sk__filtered__T96__tierb      892.9 ->      843.9    -5.5% (band 3.0%)
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__filtered__T96__tierb      134.2 ->      127.2    -5.2% (band 3.0%)
    tpcds__customer_address_ca_zip__store_s_zip__T96__tierb        8.6 ->        8.1    -5.2% (band 4.0%)
    tpcds__store_sales_ss_store_sk__store_s_store_sk__filtered__T96__tierb    1,922.3 ->    1,822.2    -5.2% (band 3.0%)
    tpcds__inventory_inv_item_sk__item_i_item_sk__T96__tierb    3,109.2 ->    2,949.9    -5.1% (band 3.0%)
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__T96__tierb    3,319.8 ->    3,150.6    -5.1% (band 3.0%)
    job__movie_info_idx_info_type_id__info_type_id__filtered__T16__tierb        0.3 ->        0.3    -5.1% (band 3.6%)
    tpcds__catalog_returns_cr_call_center_sk__call_center_cc_call_center_sk__T96__tierb      355.0 ->      337.2    -5.0% (band 3.0%)
