probe_ab_report: 1 file(s), 8052 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier b: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 365   win=164 tie=50 loss=151   no-verdict=11
  aggregate 493,179.2 ms -> 449,846.8 ms (-8.8%)
  median per-cell delta -0.4%
  LOSSES on probe_cost: 151
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    tpcds__customer_address_ca_county__store_s_county__filtered__T16__tierb        2.7        3.3   +19.5%   5.6%               0.0->0.0               2.7->3.2                 6.7->7.6
    job__movie_companies_movie_id__movie_link_linked_movie_id__T16__tierb       19.1       22.8   +19.2%   3.0%               0.0->0.1             19.1->22.7               47.8->52.3
    tpcds__customer_address_ca_county__store_s_county__filtered__T96__tierb        3.0        3.5   +19.0%   7.9%               0.0->0.0               3.0->3.5                 7.5->7.9
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__filtered__T16__tierb      274.3      326.4   +19.0%   3.0%               0.0->3.0           274.3->323.4             518.9->594.1
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__filtered__T96__tierb       28.0       33.3   +18.8%   3.0%               0.0->0.3             28.0->33.0               55.2->60.1
    job__cast_info_movie_id__movie_link_linked_movie_id__T16__tierb      303.1      359.6   +18.6%   3.0%               0.0->1.5           303.1->358.1             669.6->729.9
    job__cast_info_movie_id__movie_info_movie_id__T96__tierb    1,529.8    1,812.4   +18.5%   4.6%               0.1->4.7       1,529.7->1,807.7       89,865.5->92,366.7
    tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__filtered__T16__tierb      259.9      307.1   +18.2%   3.0%               0.0->1.7           259.9->305.5             450.5->500.5
    job__movie_info_idx_movie_id__movie_link_linked_movie_id__T96__tierb        8.6       10.2   +18.0%   5.7%               0.0->0.1              8.6->10.1               21.0->22.8
    tpcds__store_sales_ss_sold_date_sk__date_dim_d_date_sk__filtered__T16__tierb    1,064.5    1,253.1   +17.7%   3.0%               0.0->6.5       1,064.5->1,247.1         1,780.2->1,982.0
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__filtered__T96__tierb      279.0      327.3   +17.3%   3.0%               0.0->2.2           279.0->325.2             613.2->648.5
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__filtered__T96__tierb      115.2      135.0   +17.2%   4.0%               0.0->0.9           115.2->134.0             251.1->262.2
    job__title_id__movie_link_linked_movie_id__T16__tierb       19.2       22.5   +17.0%   3.0%               0.0->0.1             19.2->22.4               40.4->43.9
    tpcds__web_sales_ws_item_sk__item_i_item_sk__filtered__T16__tierb      143.5      167.8   +16.9%   3.0%               0.0->1.5           143.5->166.4             269.6->304.3
    job__movie_keyword_movie_id__title_id__filtered__T16__tierb       25.3       29.6   +16.9%   3.0%               0.0->0.1             25.3->29.5               50.1->57.1
    job__title_id__movie_link_linked_movie_id__T96__tierb       20.3       23.7   +16.7%   3.0%               0.0->0.2             20.3->23.5               42.4->45.8
    job__movie_companies_movie_id__movie_link_linked_movie_id__T96__tierb       20.6       23.9   +16.2%   3.0%               0.0->0.2             20.6->23.7               51.5->55.1
    tpcds__customer_address_ca_county__store_s_county__T96__tierb        3.3        3.8   +16.2%   9.0%               0.0->0.0               3.3->3.8               11.4->11.7
    tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__filtered__T96__tierb      285.7      331.9   +16.2%   3.0%               0.1->2.7           285.6->329.2             636.1->670.0
    tpcds__store_sales_ss_store_sk__store_s_store_sk__T96__tierb    1,273.8    1,479.0   +16.1%   3.0%              0.8->12.3       1,272.8->1,466.6         6,811.2->6,669.5
    tpcds__web_returns_wr_item_sk__item_i_item_sk__filtered__T16__tierb       18.3       21.2   +16.1%   3.0%               0.0->0.2             18.3->21.1               32.3->37.8
    tpch__orders_o_custkey__customer_c_custkey__left_anti__T16__tierb    1,687.6    1,956.3   +15.9%   3.0%               0.0->6.5       1,687.6->1,949.5         1,739.7->2,001.7
    tpcds__store_sales_ss_sold_date_sk__date_dim_d_date_sk__filtered__T96__tierb    1,158.5    1,342.2   +15.9%   3.0%              0.5->11.1       1,158.0->1,331.2         2,480.8->2,639.1
    tpcds__customer_address_ca_state__store_s_state__T96__tierb        2.6        3.0   +15.8%   3.7%               0.0->0.0               2.6->3.0               56.2->59.3
    tpcds__catalog_returns_cr_returned_date_sk__date_dim_d_date_sk__filtered__T96__tierb       40.8       47.2   +15.6%   3.0%               0.0->0.4             40.8->46.8               94.4->98.2
    tpcds__catalog_sales_cs_ship_date_sk__date_dim_d_date_sk__filtered__T96__tierb      401.4      463.2   +15.4%   3.0%               0.1->4.8           401.3->458.3             910.9->952.3
    tpcds__store_returns_sr_store_sk__store_s_store_sk__T96__tierb      133.7      153.9   +15.1%   5.5%               0.1->1.2           133.7->152.7             695.9->692.0
    job__cast_info_movie_id__movie_link_linked_movie_id__T96__tierb      345.4      397.5   +15.1%   3.0%               0.1->2.2           345.3->395.3             871.3->905.9
    job__movie_info_idx_movie_id__complete_cast_movie_id__T16__tierb       10.6       12.2   +15.0%   3.1%               0.0->0.1             10.6->12.1               27.1->30.7
    tpcds__inventory_inv_item_sk__item_i_item_sk__filtered__T16__tierb      469.6      539.9   +15.0%   3.0%               0.0->2.6           469.6->537.3             738.0->857.6
    tpcds__store_returns_sr_item_sk__item_i_item_sk__filtered__T16__tierb       63.1       72.2   +14.4%   3.0%               0.0->0.6             63.1->71.6             115.7->130.8
    coffeeshop__fact_sales_product_id__dim_products_product_id__T96__tierb   16,372.1   18,670.3   +14.0%   3.0%            23.9->192.3     16,349.0->18,481.9     112,580.6->114,442.9
    tpcds__inventory_inv_item_sk__item_i_item_sk__filtered__T96__tierb      555.2      628.8   +13.3%   3.0%               0.1->4.0           555.1->624.8         1,108.9->1,180.3
    tpch__orders_o_custkey__customer_c_custkey__left_anti__T96__tierb    3,427.5    3,880.9   +13.2%   3.0%              0.7->10.2       3,426.8->3,871.0         3,521.2->3,949.7
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__filtered__T16__tierb       34.5       38.9   +12.5%   3.0%               0.0->0.3             34.5->38.5               62.4->70.0
    job__movie_companies_company_id__company_name_id__filtered__T16__tierb       24.7       27.6   +11.8%   3.0%               0.0->0.1             24.7->27.5               33.0->37.2
    job__movie_companies_company_id__company_name_id__filtered__T96__tierb       26.2       29.3   +11.6%   3.0%               0.0->0.2             26.2->29.1               36.2->39.8
    tpcds__web_sales_ws_item_sk__item_i_item_sk__filtered__T96__tierb      180.2      200.5   +11.3%   3.0%               0.1->2.5           180.0->197.9             413.2->424.6
    tpcds__store_sales_ss_item_sk__item_i_item_sk__filtered__T96__tierb      665.0      739.4   +11.2%   3.0%               0.4->9.8           664.7->729.0         1,557.9->1,582.4
    job__movie_keyword_movie_id__title_id__T16__tierb       37.6       41.7   +11.0%   8.8%               0.0->0.1             37.6->41.6             120.6->139.6
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__filtered__T96__tierb      344.7      382.2   +10.9%   3.0%               0.2->5.1           344.5->376.8             800.7->816.6
    tpcds__customer_address_ca_county__store_s_county__T16__tierb        3.0        3.3   +10.7%   3.0%               0.0->0.0               3.0->3.3               10.3->10.7
    job__movie_companies_company_type_id__company_type_id__T16__tierb       13.1       14.5   +10.6%   3.0%               0.0->0.1             13.1->14.4               43.6->45.1
    tpcds__web_returns_wr_item_sk__item_i_item_sk__filtered__T96__tierb       20.2       22.2   +10.1%   3.0%               0.0->0.2             20.2->22.0               39.0->42.3
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__filtered__T96__tierb       37.4       41.0    +9.7%   3.0%               0.0->0.4             37.4->40.6               78.9->81.0
    job__movie_keyword_movie_id__movie_companies_movie_id__T16__tierb       41.7       45.5    +9.1%   6.8%               0.0->0.1             41.7->45.3             658.3->734.6
    tpcds__store_returns_sr_item_sk__item_i_item_sk__filtered__T96__tierb       73.6       80.1    +8.8%   3.0%               0.0->0.9             73.6->79.2             162.4->165.6
    tpch__supplier_s_nationkey__nation_n_nationkey__T96__tierb        6.4        6.9    +8.7%   3.0%               0.0->0.2               6.4->6.7               19.0->19.5
    tpcds__customer_c_current_hdemo_sk__household_demographics_hd_demo_sk__T16__tierb       15.0       16.3    +8.7%   3.0%               0.0->0.1             15.0->16.2               37.0->39.8
    job__movie_keyword_movie_id__aka_title_movie_id__T16__tierb       30.6       33.3    +8.6%   4.9%               0.0->0.1             30.6->33.1             140.2->165.6
    tpcds__customer_c_first_sales_date_sk__date_dim_d_date_sk__filtered__T96__tierb        7.3        7.9    +8.1%   5.8%               0.0->0.3               7.3->7.6               13.4->13.9
    job__cast_info_person_id__name_id__T96__tierb       565.3      610.8    +8.0%   3.5%               0.1->2.3           565.1->608.5         2,146.4->2,344.0
    stackoverflow__votes_PostId__posts_Id__T96__tierb    9,988.2   10,780.6    +7.9%   3.0%              0.1->13.2      9,988.2->10,767.5       17,277.6->18,881.2
    tpch__partsupp_ps_partkey__part_p_partkey__filtered__T96__tierb      495.1      534.2    +7.9%   5.9%               0.0->3.3           495.0->531.0             588.0->633.3
    tpcds__web_sales_ws_web_page_sk__web_page_wp_web_page_sk__T16__tierb      276.9      298.3    +7.7%   3.0%               0.0->1.9           276.9->296.4             727.1->764.8
    tpcds__store_sales_ss_hdemo_sk__household_demographics_hd_demo_sk__T16__tierb    2,401.8    2,584.7    +7.6%   3.0%               0.0->8.8       2,401.6->2,575.4         5,471.6->5,825.8
    tpcds__web_returns_wr_web_page_sk__web_page_wp_web_page_sk__T16__tierb       28.8       30.9    +7.6%   3.0%               0.0->0.3             28.8->30.7               72.4->75.4
    tpcds__catalog_sales_cs_promo_sk__promotion_p_promo_sk__T16__tierb      532.6      571.4    +7.3%   3.0%               0.0->3.5           532.6->568.0         2,370.5->2,460.2
    job__movie_companies_company_type_id__company_type_id__T96__tierb       15.8       16.9    +7.2%   3.0%               0.0->0.3             15.8->16.7               52.2->54.5
    tpcds__web_sales_ws_ship_hdemo_sk__household_demographics_hd_demo_sk__T16__tierb      604.9      648.0    +7.1%   3.0%               0.0->2.2           604.9->645.7         1,400.4->1,490.6
    tpcds__catalog_sales_cs_bill_hdemo_sk__household_demographics_hd_demo_sk__T16__tierb    1,213.6    1,300.2    +7.1%   3.0%               0.0->4.4       1,213.6->1,295.7         2,810.7->2,977.6
    tpcds__web_sales_ws_promo_sk__promotion_p_promo_sk__T16__tierb      265.2      283.9    +7.1%   3.0%               0.0->1.8           265.2->282.1         1,189.3->1,237.3
    job__title_kind_id__kind_type_id__T96__tierb         14.9       15.9    +6.8%   3.0%               0.0->0.2             14.9->15.7               46.8->47.1
    tpcds__store_sales_ss_promo_sk__promotion_p_promo_sk__T16__tierb    1,092.5    1,166.1    +6.7%   3.0%               0.1->7.3       1,092.4->1,158.8         4,636.8->4,815.6
    job__movie_keyword_movie_id__movie_info_idx_movie_id__T16__tierb       34.9       37.2    +6.7%   4.0%               0.0->0.1             34.9->37.1             209.6->238.8
    tpch__customer_c_nationkey__nation_n_nationkey__T96__tierb       91.4       97.1    +6.3%   3.0%               0.1->1.1             91.3->96.0             341.0->313.7
    tpcds__customer_c_current_hdemo_sk__household_demographics_hd_demo_sk__T96__tierb       15.8       16.8    +6.2%   3.0%               0.0->0.2             15.8->16.6               38.4->40.1
    tpcds__store_returns_sr_store_sk__store_s_store_sk__filtered__T16__tierb      129.7      137.4    +5.9%   3.0%               0.0->0.6           129.7->136.7             257.5->266.1
    tpcds__store_sales_ss_store_sk__store_s_store_sk__filtered__T96__tierb    1,352.1    1,430.8    +5.8%   3.0%              0.4->10.4       1,351.6->1,420.6         3,273.3->3,255.5
    tpcds__store_sales_ss_hdemo_sk__household_demographics_hd_demo_sk__T96__tierb    2,664.2    2,810.7    +5.5%   3.0%              0.6->11.9       2,663.7->2,798.7         7,228.1->7,157.6
