q	run	sec	build_rows	rf_created	prealloc	sel_rows
q34	r3	0.129	7588489	7	6320176	49825967
q34	r4	0.128	7579567	7	6320928	49825967
q34	r5	0.126	7462709	7	6320928	49825967
q34	r6	0.134	7521522	7	6320928	49825967
q35	r1	0.251	3153495	6	0	44757137
q35	r2	0.082	3153495	6	3712656	44757137
q35	r3	0.083	3153495	6	3140336	44757137
q35	r4	0.084	3153495	6	3140336	44757137
q35	r5	0.081	3153495	6	3140336	44757137
q35	r6	0.081	3153495	6	3140336	44757137
q36	r1	0.144	3141719	6	3140336	42148008
q36	r2	0.058	3141718	6	3140336	42148008
q36	r3	0.063	3141718	6	3140336	42148008
q36	r4	0.058	3141718	6	3140336	42148008
q36	r5	0.057	3141718	6	3140336	42148008
q36	r6	0.059	3141718	6	3140336	42148008
q37	r1	0.176	3225225	6	3140336	44757137
q37	r2	0.068	3225225	6	3140336	44757137
q37	r3	0.068	3225225	6	3140336	44757137
q37	r4	0.068	3225225	6	3140336	44757137
q37	r5	0.072	3225225	6	3140336	44757137
q37	r6	0.068	3225225	6	3140336	44757137
q38	r1	0.006	0	0	0	0
q38	r2	0.005	0	0	0	0
q38	r3	0.005	0	0	0	0
q38	r4	0.005	0	0	0	0
q38	r5	0.005	0	0	0	0
q38	r6	0.005	0	0	0	0
q39	r1	0.005	0	0	0	0
q39	r2	0.005	0	0	0	0
q39	r3	0.005	0	0	0	0
q39	r4	0.005	0	0	0	0
q39	r5	0.005	0	0	0	0
q39	r6	0.005	0	0	0	0
q40	r1	0.152	2318111	7	0	10060557
q40	r2	0.147	2411617	7	2287264	10060557
q40	r3	0.056	2411617	7	218928	10060557
q40	r4	0.069	2411617	7	218928	10060557
q40	r5	0.057	2411617	7	218928	10060557
q40	r6	0.056	2411617	7	218928	10060557
q41	r1	0.293	3691689	7	218928	10060557
q41	r2	0.205	3691077	7	943200	10060557
q41	r3	0.201	3691077	7	943200	10060557
q41	r4	0.215	3691077	7	943200	10060557
q41	r5	0.202	3691077	7	943200	10060557
q41	r6	0.202	3691077	7	943200	10060557
q42	r1	0.538	907982	6	218928	21588423
q42	r2	0.146	967516	6	522576	21588423
q42	r3	0.142	959336	6	524288	21588423
q42	r4	0.14	967516	6	524288	21588423
q42	r5	0.141	967516	6	524288	21588423
q42	r6	0.14	967516	6	524288	21588423
q43	r1	0.134	122333	7	63726	21588423
q43	r2	0.044	84931	7	0	21588423
q43	r3	0.037	84931	7	0	21588423
q43	r4	0.037	84931	7	0	21588423
q43	r5	0.05	84931	7	0	21588423
q43	r6	0.04	84931	7	0	21588423
q44	r1	0.638	3272717	6	0	21588423
q44	r2	0.162	2399605	6	388976	21588423
q44	r3	0.159	2364410	6	1415520	21588423
q44	r4	0.157	2302628	6	1415520	21588423
q44	r5	0.157	2386819	6	1415520	21588423
q44	r6	0.155	2364410	6	1415520	21588423
q45	r1	0.227	8475908	8	0	21588430
q45	r2	0.232	11504686	6	2612992	21588430
q45	r3	0.141	13354923	6	3123760	21588430
q45	r4	0.17	15747166	6	3160192	21588430
q45	r5	0.119	11852601	6	3161248	21588430
q45	r6	0.134	15095455	6	3161248	21588430
