q	run	sec	build_rows	rf_created	prealloc	sel_rows
q40	r5	0.053	2318021	7	2294187	10060557
q40	r6	0.053	2318021	7	2294187	10060557
q41	r1	0.142	2318111	7	2294187	10060557
q41	r2	0.053	2318021	7	2294187	10060557
q41	r3	0.054	2318021	7	2294187	10060557
q41	r4	0.064	2318021	7	2294187	10060557
q41	r5	0.056	2318021	7	2294187	10060557
q41	r6	0.053	2318021	7	2294187	10060557
q42	r1	0.531	897062	6	416	21588423
q42	r2	0.139	899899	6	583600	21588423
q42	r3	0.141	959336	6	583696	21588423
q42	r4	0.142	967516	6	585472	21588423
q42	r5	0.138	909788	6	585840	21588423
q42	r6	0.14	959336	6	585840	21588423
q43	r1	0.142	627388	7	78432	21588423
q43	r2	0.057	627388	7	269008	21588423
q43	r3	0.057	627388	7	269008	21588423
q43	r4	0.082	627388	7	269008	21588423
q43	r5	0.057	627388	7	269008	21588423
q43	r6	0.057	627388	7	269008	21588423
q44	r1	0.544	2423193	6	87200	21588423
q44	r2	0.155	2305110	6	1356720	21588423
q44	r3	0.157	2364410	6	1356720	21588423
q44	r4	0.158	2364410	6	1356720	21588423
q44	r5	0.154	2330713	6	1356720	21588423
q44	r6	0.158	2386819	6	1356720	21588423
q45	r1	0.305	11480843	8	0	21588430
q45	r2	0.184	12369651	8	2735552	21588430
q45	r3	0.207	12831186	8	2761584	21588430
q45	r4	0.161	11260164	8	2766176	21588430
q45	r5	0.286	11364646	8	2766176	21588430
q45	r6	0.107	10342693	8	2766176	21588430
q46	r1	0.207	13412295	8	2714272	21588430
q46	r2	0.138	13472436	8	3287824	21588430
q46	r3	0.129	13763488	8	3287824	21588430
q46	r4	0.129	13763408	8	3287856	21588430
q46	r5	0.127	14406681	8	3287856	21588430
q46	r6	0.127	14791713	8	3287856	21588430
q47	r1	0.212	13279078	8	3287856	21588430
q47	r2	0.127	12241680	8	3289136	21588430
q47	r3	0.123	13121150	8	3289136	21588430
q47	r4	0.128	12876700	8	3289136	21588430
q47	r5	0.131	14927528	8	3289136	21588430
q47	r6	0.126	14384617	8	3289136	21588430
q48	r1	0.216	13328840	8	3289136	21588430
q48	r2	0.138	13851980	8	3289136	21588430
q48	r3	0.141	14757786	8	3289136	21588430
q48	r4	0.132	13038708	8	3289136	21588430
q48	r5	0.13	13338610	8	3289136	21588430
q48	r6	0.136	14714713	8	3289136	21588430
q49	r1	0.537	39869	6	0	23402400
q49	r2	0.14	39869	6	29968	23402400
q49	r3	0.13	39869	6	29968	23402400
q49	r4	0.132	39869	6	29968	23402400
q49	r5	0.129	39869	6	29968	23402400
q49	r6	0.132	39869	6	29968	23402400
q50	r1	0.525	19543	6	0	23402400
q50	r2	0.137	19543	6	19504	23402400
q50	r3	0.13	19543	6	19504	23402400
q50	r4	0.127	19543	6	19504	23402400
q50	r5	0.133	19543	6	19504	23402400
q50	r6	0.127	19543	6	19504	23402400
q51	r1	0.541	49283	6	0	23402400
q51	r2	0.136	49283	6	37664	23402400
q51	r3	0.134	49283	6	37664	23402400
q51	r4	0.135	49283	6	37664	23402400
q51	r5	0.136	49283	6	37664	23402400
q51	r6	0.134	49283	6	37664	23402400
q52	r1	0.338	4988348	8	0	25227847
q52	r2	0.102	4988348	8	937360	25227847
q52	r3	0.1	4988348	8	937360	25227847
q52	r4	0.098	4988348	8	937360	25227847
q52	r5	0.098	4988348	8	937360	25227847
q52	r6	0.099	4988348	8	937360	25227847
q53	r1	0.329	4797339	8	611074	25227847
q53	r2	0.092	4797338	8	746860	25227847
q53	r3	0.094	4797339	8	746861	25227847
q53	r4	0.094	4797339	8	746861	25227847
q53	r5	0.095	4797339	8	746861	25227847
q53	r6	0.09	4797339	8	746861	25227847
q54	r1	0.302	227637	8	610944	25227847
q54	r2	0.084	227637	8	223088	25227847
q54	r3	0.084	227637	8	223088	25227847
q54	r4	0.108	227637	8	223088	25227847
q54	r5	0.083	227637	8	223088	25227847
q54	r6	0.084	227637	8	223088	25227847
q55	r1	0.173	252691	8	219472	25227847
q55	r2	0.062	252689	8	238368	25227847
q55	r3	0.061	252686	8	238368	25227847
q55	r4	0.062	252686	8	238368	25227847
q55	r5	0.062	252689	8	238368	25227847
q55	r6	0.062	252688	8	238368	25227847
q56	r1	0.441	23404282	7	1650048	51343716
q56	r2	0.277	23378819	7	7425456	51343716
q56	r3	0.277	23378819	7	7425456	51343716
q56	r4	0.275	23378819	7	7425456	51343716
q56	r5	0.277	23378819	7	7425456	51343716
q56	r6	0.272	23380721	7	7425456	51343716
q57	r1	0.465	24028512	7	9945696	51343716
q57	r2	0.308	24002534	7	8058480	51343716
q57	r3	0.294	24002534	7	8058480	51343716
q57	r4	0.298	24002534	7	8058480	51343716
q57	r5	0.298	24005170	7	8058480	51343716
q57	r6	0.292	24005170	7	8058480	51343716
q58	r1	0.462	24005512	7	7417392	51343716
q58	r2	0.301	23982775	7	8037072	51343716
q58	r3	0.298	23985398	7	8037072	51343716
q58	r4	0.299	23985398	7	8037072	51343716
q58	r5	0.298	23982775	7	8037072	51343716
q58	r6	0.299	23985398	7	8037072	51343716
q59	r1	0.444	23549567	7	7417392	51343716
q59	r2	0.287	23529805	7	7577104	51343716
q59	r3	0.284	23531754	7	7577104	51343716
q59	r4	0.281	23529805	7	7577104	51343716
q59	r5	0.28	23529805	7	7577104	51343716
q59	r6	0.295	23534154	7	7577104	51343716
q60	r1	0.245	2296250	6	1258928	50442373
q60	r2	0.093	2296250	6	2198656	50442373
q60	r3	0.093	2296250	6	2198656	50442373
q60	r4	0.092	2296250	6	2198656	50442373
q60	r5	0.092	2296250	6	2198656	50442373
q60	r6	0.092	2296250	6	2198656	50442373
q61	r1	0.21	5298013	6	1174096	50442373
q61	r2	0.087	5134112	6	3663088	50442373
q61	r3	0.085	5134112	6	3663088	50442373
q61	r4	0.084	5134112	6	3663088	50442373
q61	r5	0.082	5134112	6	3663088	50442373
q61	r6	0.091	5134112	6	3663088	50442373
q62	r1	0.158	5195710	6	3626928	50442373
q62	r2	0.067	5100602	6	3629584	50442373
q62	r3	0.065	5100602	6	3629584	50442373
q62	r4	0.064	5100602	6	3629584	50442373
q62	r5	0.065	5100602	6	3629584	50442373
q62	r6	0.064	5100602	6	3629584	50442373
q63	r1	0.219	5241977	6	3626928	50442373
q63	r2	0.073	5103154	6	3632144	50442373
q63	r3	0.073	5103154	6	3632144	50442373
q63	r4	0.071	5103154	6	3632144	50442373
q63	r5	0.07	5103154	6	3632144	50442373
q63	r6	0.073	5103154	6	3632144	50442373
q64	r1	0.661	42289590	6	5257280	50442373
q64	r2	0.52	42281038	6	7799088	50442373
q64	r3	0.511	42282179	6	7799088	50442373
q64	r4	0.514	42282179	6	7799088	50442373
q64	r5	0.51	42281038	6	7799088	50442373
q64	r6	0.507	42282179	6	7799088	50442373
q65	r1	0.258	5700360	6	2001248	50442373
q65	r2	0.099	5634654	6	4065440	50442373
q65	r3	0.099	5634654	6	4065440	50442373
q65	r4	0.1	5634654	6	4065440	50442373
q65	r5	0.099	5634654	6	4065440	50442373
q65	r6	0.105	5634654	6	4065440	50442373
q66	r1	0.198	132303	5	2170960	59156128
q66	r2	0.075	132303	5	132112	59156128
q66	r3	0.075	132303	5	132112	59156128
q66	r4	0.074	132303	5	132112	59156128
q66	r5	0.075	132303	5	132112	59156128
q66	r6	0.075	132303	5	132112	59156128
q67	r1	0.007	0	0	0	0
q67	r2	0.007	0	0	0	0
q67	r3	0.007	0	0	0	0
q67	r4	0.008	0	0	0	0
q67	r5	0.007	0	0	0	0
q67	r6	0.007	0	0	0	0
q68	r1	0.587	2106908	5	672	59156128
q68	r2	0.166	2106908	5	2035504	59156128
q68	r3	0.159	2106908	5	2035504	59156128
q68	r4	0.164	2106908	5	2035504	59156128
q68	r5	0.16	2106908	5	2035504	59156128
q68	r6	0.162	2106908	5	2035504	59156128
