q	run	sec	build_rows	rf_created	prealloc	sel_rows
q44	r6	0.158	2399605	6	0	21588423
q45	r1	0.303	10838589	8	0	21588430
q45	r2	0.263	12664610	8	0	21588430
q45	r3	0.14	9741122	8	0	21588430
q45	r4	0.174	13327655	8	0	21588430
q45	r5	0.336	11611733	8	0	21588430
q45	r6	0.197	14016738	8	0	21588430
q46	r1	0.21	12057269	8	0	21588430
q46	r2	0.135	10845956	8	0	21588430
q46	r3	0.127	12150216	8	0	21588430
q46	r4	0.134	13387972	8	0	21588430
q46	r5	0.135	14567895	8	0	21588430
q46	r6	0.136	14593591	8	0	21588430
q47	r1	0.207	11562551	8	0	21588430
q47	r2	0.145	13428408	8	0	21588430
q47	r3	0.131	13349446	8	0	21588430
q47	r4	0.132	14123890	8	0	21588430
q47	r5	0.14	14802265	8	0	21588430
q47	r6	0.134	14476744	8	0	21588430
q48	r1	0.213	11465358	8	0	21588430
q48	r2	0.154	13895352	8	0	21588430
q48	r3	0.138	13237593	8	0	21588430
q48	r4	0.133	13009513	8	0	21588430
q48	r5	0.142	13739125	8	0	21588430
q48	r6	0.14	13277754	8	0	21588430
q49	r1	0.538	39869	6	0	23402400
q49	r2	0.144	39869	6	0	23402400
q49	r3	0.137	39869	6	0	23402400
q49	r4	0.134	39869	6	0	23402400
q49	r5	0.134	39869	6	0	23402400
q49	r6	0.135	39869	6	0	23402400
q50	r1	0.528	19543	6	0	23402400
q50	r2	0.135	19543	6	0	23402400
q50	r3	0.133	19543	6	0	23402400
q50	r4	0.133	19543	6	0	23402400
q50	r5	0.133	19543	6	0	23402400
q50	r6	0.131	19543	6	0	23402400
q51	r1	0.546	49283	6	0	23402400
q51	r2	0.139	49283	6	0	23402400
q51	r3	0.14	49283	6	0	23402400
q51	r4	0.143	49283	6	0	23402400
q51	r5	0.14	49283	6	0	23402400
q51	r6	0.14	49283	6	0	23402400
q52	r1	0.344	4988348	8	0	25227847
q52	r2	0.107	4988348	8	0	25227847
q52	r3	0.106	4988348	8	0	25227847
q52	r4	0.114	4988348	8	0	25227847
q52	r5	0.107	4988348	8	0	25227847
q52	r6	0.109	4988348	8	0	25227847
q53	r1	0.333	4797337	8	0	25227847
q53	r2	0.101	4797342	8	0	25227847
q53	r3	0.102	4797339	8	0	25227847
q53	r4	0.1	4797339	8	0	25227847
q53	r5	0.108	4797341	8	0	25227847
q53	r6	0.11	4797342	8	0	25227847
q54	r1	0.307	227637	8	0	25227847
q54	r2	0.088	227637	8	0	25227847
q54	r3	0.089	227637	8	0	25227847
q54	r4	0.111	227637	8	0	25227847
q54	r5	0.088	227637	8	0	25227847
q54	r6	0.09	227637	8	0	25227847
q55	r1	0.179	252689	8	0	25227847
q55	r2	0.068	252690	8	0	25227847
q55	r3	0.068	252689	8	0	25227847
q55	r4	0.068	252688	8	0	25227847
q55	r5	0.068	252688	8	0	25227847
q55	r6	0.068	252688	8	0	25227847
q56	r1	0.416	23404282	7	0	51343716
q56	r2	0.246	23404282	7	0	51343716
q56	r3	0.242	23404282	7	0	51343716
q56	r4	0.235	23404282	7	0	51343716
q56	r5	0.236	23404282	7	0	51343716
q56	r6	0.237	23404282	7	0	51343716
q57	r1	0.424	24042103	7	0	51343716
q57	r2	0.276	24042103	7	0	51343716
q57	r3	0.273	24042103	7	0	51343716
q57	r4	0.264	24042103	7	0	51343716
q57	r5	0.268	24042103	7	0	51343716
q57	r6	0.263	24042103	7	0	51343716
q58	r1	0.428	24022012	7	0	51343716
q58	r2	0.268	24022012	7	0	51343716
q58	r3	0.263	24022012	7	0	51343716
q58	r4	0.27	24022012	7	0	51343716
q58	r5	0.276	24022012	7	0	51343716
q58	r6	0.274	24022012	7	0	51343716
q59	r1	0.404	23557326	7	0	51343716
q59	r2	0.255	23557326	7	0	51343716
q59	r3	0.257	23557326	7	0	51343716
q59	r4	0.252	23557326	7	0	51343716
q59	r5	0.248	23557326	7	0	51343716
q59	r6	0.266	23557326	7	0	51343716
q60	r1	0.254	2296250	6	0	50442373
q60	r2	0.099	2296250	6	0	50442373
q60	r3	0.098	2296250	6	0	50442373
q60	r4	0.1	2296250	6	0	50442373
q60	r5	0.099	2296250	6	0	50442373
q60	r6	0.099	2296250	6	0	50442373
q61	r1	0.205	5326607	6	0	50442373
q61	r2	0.173	5149965	6	0	50442373
q61	r3	0.157	5149965	6	0	50442373
q61	r4	0.157	5149965	6	0	50442373
q61	r5	0.163	5149965	6	0	50442373
q61	r6	0.139	5149965	6	0	50442373
q62	r1	0.183	5208037	6	0	50442373
q62	r2	0.088	5263368	6	0	50442373
q62	r3	0.111	5116455	6	0	50442373
q62	r4	0.122	5116455	6	0	50442373
q62	r5	0.143	5116455	6	0	50442373
q62	r6	0.087	5116455	6	0	50442373
q63	r1	0.249	5175053	6	0	50442373
q63	r2	0.113	5119007	6	0	50442373
q63	r3	0.155	5119007	6	0	50442373
q63	r4	0.147	5119007	6	0	50442373
q63	r5	0.132	5119007	6	0	50442373
q63	r6	0.128	5119007	6	0	50442373
q64	r1	0.58	42296370	6	0	50442373
q64	r2	0.416	42296370	6	0	50442373
q64	r3	0.411	42296370	6	0	50442373
q64	r4	0.406	42296370	6	0	50442373
q64	r5	0.412	42296370	6	0	50442373
q64	r6	0.408	42296370	6	0	50442373
q65	r1	0.269	5784246	6	0	50442373
q65	r2	0.169	5650507	6	0	50442373
q65	r3	0.155	5664816	6	0	50442373
q65	r4	0.137	5650507	6	0	50442373
q65	r5	0.141	5650507	6	0	50442373
q65	r6	0.168	5650507	6	0	50442373
q66	r1	0.203	132303	5	0	59156128
q66	r2	0.085	132303	5	0	59156128
q66	r3	0.078	132303	5	0	59156128
q66	r4	0.08	132303	5	0	59156128
q66	r5	0.079	132303	5	0	59156128
q66	r6	0.079	132303	5	0	59156128
q67	r1	0.007	0	0	0	0
q67	r2	0.007	0	0	0	0
q67	r3	0.007	0	0	0	0
q67	r4	0.006	0	0	0	0
q67	r5	0.007	0	0	0	0
q67	r6	0.007	0	0	0	0
q68	r1	0.59	2106908	5	0	59156128
q68	r2	0.166	2106908	5	0	59156128
q68	r3	0.164	2106908	5	0	59156128
q68	r4	0.164	2106908	5	0	59156128
q68	r5	0.164	2106908	5	0	59156128
q68	r6	0.163	2106908	5	0	59156128
q69	r1	0.669	4190755	8	0	64661800
q69	r2	0.223	4190722	8	0	64661800
q69	r3	0.215	4190884	8	0	64661800
q69	r4	0.215	4189839	8	0	64661800
q69	r5	0.214	4190397	8	0	64661800
q69	r6	0.214	4190193	8	0	64661800
q70	r1	0.638	3231906	8	0	64661800
q70	r2	0.196	3231906	8	0	64661800
q70	r3	0.195	3231906	8	0	64661800
q70	r4	0.222	3231906	8	0	64661800
q70	r5	0.192	3231906	8	0	64661800
q70	r6	0.193	3231906	8	0	64661800
q71	r1	0.657	4301986	8	0	64661800
q71	r2	0.24	4301986	8	0	64661800
q71	r3	0.215	4301986	8	0	64661800
q71	r4	0.217	4301986	8	0	64661800
q71	r5	0.214	4301986	8	0	64661800
q71	r6	0.217	4301986	8	0	64661800
q72	r1	0.372	15987915	8	0	64661800
