40	0.146	0.056	0.052	0.063	0.053	0.052
41	0.138	0.052	0.052	0.061	0.049	0.052
42	0.521	0.139	0.136	0.137	0.136	0.138
43	0.142	0.055	0.055	0.078	0.055	0.054
44	0.541	0.148	0.150	0.149	0.151	0.153
45	0.261	0.208	0.116	0.178	0.278	0.125
46	0.203	0.122	0.124	0.118	0.121	0.119
47	0.204	0.126	0.121	0.123	0.117	0.111
48	0.209	0.123	0.127	0.137	0.131	0.124
49	0.536	0.131	0.131	0.127	0.127	0.127
50	0.528	0.132	0.125	0.126	0.125	0.125
51	0.535	0.131	0.132	0.131	0.131	0.133
52	0.334	0.103	0.099	0.096	0.098	0.096
53	0.325	0.091	0.091	0.094	0.091	0.094
54	0.298	0.086	0.083	0.107	0.083	0.081
55	0.176	0.060	0.060	0.060	0.060	0.060
56	0.437	0.268	0.267	0.267	0.259	0.258
57	0.446	0.291	0.290	0.292	0.286	0.286
58	0.440	0.289	0.287	0.285	0.285	0.285
59	0.426	0.276	0.272	0.266	0.271	0.271
60	0.248	0.094	0.095	0.094	0.092	0.093
61	0.193	0.115	0.167	0.147	0.121	0.096
62	0.165	0.136	0.113	0.137	0.090	0.082
63	0.237	0.102	0.120	0.156	0.152	0.102
64	0.660	0.500	0.499	0.507	0.500	0.504
65	0.268	0.133	0.119	0.167	0.168	0.168
66	0.195	0.073	0.072	0.072	0.073	0.073
67	0.006	0.006	0.006	0.006	0.006	0.006
68	0.587	0.162	0.164	0.159	0.158	0.161
69	0.661	0.210	0.202	0.204	0.201	0.204
70	0.631	0.184	0.186	0.210	0.186	0.182
71	0.652	0.226	0.205	0.204	0.202	0.204
72	0.356	0.199	0.178	0.176	0.175	0.177
73	0.217	0.079	0.077	0.075	0.075	0.076
74	0.216	0.081	0.071	0.071	0.072	0.071
75	0.344	0.136	0.133	0.147	0.138	0.132
76	0.006	0.006	0.006	0.006	0.006	0.006
77	0.006	0.006	0.006	0.006	0.006	0.006
78	0.006	0.006	0.006	0.006	0.006	0.006
79	0.604	0.172	0.173	0.177	0.168	0.169
80	0.596	0.169	0.168	0.166	0.166	0.166
81	0.605	0.170	0.168	0.170	0.173	0.169
82	0.599	0.170	0.171	0.173	0.170	0.169
83	0.359	0.127	0.121	0.131	0.118	0.120
84	0.321	0.081	0.082	0.081	0.080	0.081
85	0.353	0.126	0.118	0.119	0.119	0.118
86	0.683	0.203	0.203	0.222	0.199	0.195
87	0.674	0.190	0.195	0.191	0.192	0.192
88	0.639	0.167	0.164	0.164	0.165	0.161
89	0.630	0.161	0.162	0.158	0.157	0.156
90	0.650	0.190	0.187	0.183	0.182	0.184
91	0.359	0.136	0.130	0.131	0.129	0.130
92	0.304	0.119	0.115	0.116	0.113	0.115
93	0.357	0.153	0.148	0.144	0.145	0.146
94	0.006	0.006	0.006	0.006	0.006	0.006
95	0.006	0.006	0.006	0.006	0.006	0.006
96	0.006	0.006	0.006	0.006	0.006	0.006
97	0.640	0.180	0.182	0.175	0.175	0.174
98	0.607	0.159	0.158	0.160	0.164	0.160
99	0.643	0.180	0.178	0.179	0.178	0.178
100	0.740	0.219	0.219	0.234	0.218	0.220
101	0.715	0.207	0.204	0.206	0.202	0.202
102	0.769	0.250	0.247	0.268	0.246	0.247
103	0.675	0.190	0.192	0.190	0.187	0.189
104	0.678	0.199	0.194	0.191	0.187	0.187
105	0.692	0.205	0.201	0.197	0.199	0.201
