52	0.338	0.100	0.094	0.094	0.107	0.092
53	0.304	0.094	0.077	0.077	0.077	0.078
54	0.304	0.154	0.102	0.105	0.128	0.100
55	0.187	0.069	0.072	0.071	0.070	0.070
56	0.431	0.234	0.232	0.228	0.238	0.225
57	0.345	0.118	0.118	0.117	0.117	0.115
58	0.421	0.267	0.264	0.255	0.257	0.258
59	0.395	0.247	0.241	0.240	0.241	0.250
60	0.282	0.111	0.095	0.092	0.093	0.092
61	0.235	0.075	0.070	0.069	0.068	0.069
62	0.227	0.725	0.163	0.155	0.155	0.149
63	0.226	0.158	0.157	0.158	0.154	0.156
64	0.485	0.118	0.115	0.117	0.118	0.118
65	0.336	0.115	0.107	0.105	0.108	0.106
66	0.200	0.565	0.200	0.205	0.192	0.202
67	0.006	0.006	0.006	0.006	0.006	0.006
68	0.575	0.072	0.055	0.055	0.056	0.054
69	0.658	0.203	0.204	0.201	0.212	0.198
70	0.628	0.216	0.206	0.203	0.212	0.188
71	0.656	0.204	0.208	0.204	0.202	0.202
72	0.342	0.197	0.196	0.165	0.184	0.178
73	0.225	0.106	0.086	0.084	0.083	0.084
74	0.228	0.077	0.063	0.063	0.070	0.067
75	0.374	0.127	0.125	0.122	0.121	0.119
76	0.006	0.006	0.006	0.006	0.006	0.006
77	0.006	0.006	0.006	0.006	0.006	0.006
78	0.006	0.006	0.006	0.006	0.006	0.006
79	0.614	0.179	0.167	0.164	0.167	0.167
80	0.593	0.162	0.163	0.165	0.162	0.163
81	0.606	0.173	0.175	0.175	0.174	0.175
82	0.598	0.175	0.173	0.174	0.175	0.173
83	0.368	0.125	0.121	0.133	0.122	0.122
84	0.329	0.142	0.083	0.128	0.078	0.119
85	0.398	0.126	0.128	0.126	0.118	0.119
86	0.685	0.201	0.206	0.193	0.204	0.191
87	0.675	0.196	0.190	0.189	0.203	0.192
88	0.636	0.157	0.063	0.063	0.063	0.063
89	0.264	0.092	0.092	0.090	0.090	0.091
90	0.666	0.205	0.087	0.088	0.088	0.086
91	0.427	0.135	0.137	0.133	0.132	0.132
92	0.333	0.125	0.120	0.119	0.120	0.118
93	0.337	0.134	0.131	0.128	0.130	0.130
94	0.006	0.006	0.006	0.006	0.006	0.006
95	0.006	0.006	0.006	0.006	0.006	0.006
96	0.006	0.006	0.006	0.006	0.006	0.006
97	0.657	0.183	0.175	0.172	0.174	0.171
98	0.591	0.152	0.152	0.150	0.150	0.151
99	0.639	0.175	0.179	0.175	0.179	0.175
100	0.743	0.228	0.212	0.228	0.209	0.209
101	0.718	0.211	0.191	0.206	0.192	0.193
102	0.711	0.216	0.225	0.231	0.215	0.212
103	0.683	0.211	0.187	0.185	0.186	0.192
