57	0.416	0.268	0.265	0.257	0.260	0.256
58	0.420	0.261	0.255	0.262	0.268	0.267
59	0.396	0.248	0.249	0.244	0.240	0.259
60	0.250	0.094	0.095	0.096	0.095	0.095
61	0.201	0.169	0.153	0.152	0.158	0.135
62	0.178	0.083	0.107	0.118	0.139	0.083
63	0.245	0.109	0.151	0.143	0.127	0.124
64	0.569	0.405	0.400	0.395	0.401	0.397
65	0.265	0.164	0.151	0.132	0.137	0.164
66	0.200	0.082	0.075	0.076	0.076	0.075
67	0.006	0.006	0.006	0.006	0.006	0.006
68	0.587	0.163	0.160	0.160	0.160	0.160
69	0.662	0.217	0.209	0.208	0.207	0.208
70	0.633	0.190	0.189	0.216	0.186	0.188
71	0.650	0.233	0.209	0.210	0.207	0.211
72	0.364	0.193	0.186	0.177	0.192	0.178
73	0.222	0.078	0.079	0.076	0.080	0.077
74	0.219	0.086	0.075	0.075	0.075	0.077
75	0.346	0.139	0.137	0.151	0.136	0.139
76	0.006	0.006	0.006	0.006	0.006	0.006
77	0.006	0.006	0.006	0.006	0.006	0.006
78	0.006	0.006	0.006	0.006	0.006	0.006
79	0.614	0.175	0.175	0.173	0.174	0.172
80	0.587	0.172	0.170	0.168	0.173	0.169
81	0.613	0.172	0.173	0.172	0.174	0.176
82	0.600	0.174	0.179	0.173	0.176	0.174
83	0.362	0.132	0.122	0.140	0.123	0.123
84	0.326	0.085	0.087	0.084	0.084	0.084
85	0.363	0.126	0.127	0.127	0.123	0.125
86	0.690	0.206	0.203	0.230	0.200	0.207
87	0.673	0.194	0.200	0.196	0.193	0.199
88	0.635	0.170	0.169	0.173	0.166	0.166
89	0.632	0.161	0.160	0.159	0.159	0.160
90	0.652	0.191	0.185	0.189	0.188	0.182
91	0.354	0.141	0.136	0.134	0.134	0.136
92	0.308	0.123	0.119	0.120	0.117	0.119
93	0.351	0.155	0.150	0.149	0.155	0.150
94	0.006	0.006	0.006	0.006	0.006	0.006
95	0.006	0.006	0.006	0.006	0.006	0.006
96	0.006	0.006	0.006	0.006	0.006	0.006
97	0.645	0.187	0.181	0.181	0.186	0.179
98	0.607	0.164	0.164	0.164	0.165	0.164
99	0.642	0.184	0.183	0.182	0.184	0.182
100	0.738	0.228	0.244	0.244	0.229	0.227
101	0.720	0.211	0.211	0.208	0.209	0.208
102	0.779	0.275	0.259	0.276	0.252	0.252
103	0.680	0.195	0.194	0.192	0.192	0.197
104	0.688	0.194	0.195	0.192	0.192	0.193
105	0.695	0.211	0.202	0.200	0.204	0.201
106	0.705	0.218	0.224	0.219	0.220	0.225
107	0.680	0.187	0.186	0.189	0.186	0.185
108	0.729	0.230	0.227	0.242	0.229	0.225
109	0.110	0.048	0.049	0.048	0.049	0.046
110	0.114	0.049	0.053	0.051	0.050	0.047
111	0.149	0.071	0.074	0.071	0.071	0.070
112	0.137	0.066	0.065	0.065	0.070	0.065
113	0.160	0.078	0.077	0.078	0.077	0.078
